Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
1000    10      295413  2953    2776    3527    98
1000    20      151657  1515    1403    1859    82
1000    30      107233  1071    1000    1272    53
1000    40      78228   781     732     945     45
1000    50      63583   635     599     806     41
1000    60      54657   545     517     679     33
1000    70      48901   488     465     609     30
1000    80      43647   435     415     581     31
1000    90      40965   408     384     557     31
1000    100     35075   350     329     485     30
1000    110     35869   357     338     532     27
1000    120     32971   328     309     419     22
1000    130     28872   288     277     356     17
1000    140     28771   287     275     360     17
1000    150     26424   263     247     408     22
1000    160     26277   261     249     386     22
1000    170     23341   233     222     327     18
1000    180     23254   232     223     326     16
1000    190     23693   236     225     363     22
1000    200     21257   211     193     347     24
1000    210     21084   210     196     362     23
1000    220     21022   209     196     309     15
1000    230     21131   210     197     315     17
1000    240     20814   207     197     260     9
1000    250     18793   187     166     254     19
