Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
10000,10,904,8,0,17,5,488780,4887,-984991,15841,99988,572208,35720,32742,38545,1254
10000,20,865,8,0,17,5,651097,6510,6168,6775,80,66268,20660,19476,28432,1180
10000,30,928,9,0,16,4,412259,4122,3992,4251,46,437279,14371,13483,15846,577
10000,40,852,8,0,18,5,295731,2957,2880,3105,44,127140,11269,10640,12362,377
10000,50,897,8,1,18,4,235820,2358,2258,2500,40,19916,10197,9827,11311,310
10000,60,894,8,0,18,4,192493,1924,1875,2057,30,880469,8803,8444,9851,244
10000,70,880,8,0,18,5,162375,1623,1574,1708,24,776084,7759,7510,8676,226
10000,80,973,9,0,18,4,139857,1398,1349,1509,31,690108,6899,6700,7660,176
10000,90,883,8,0,17,5,124692,1246,1206,1363,25,632594,6324,6091,7257,216
10000,100,937,9,0,18,4,110060,1100,1063,1234,29,569228,5691,5478,6743,207
10000,110,761,7,0,17,4,99456,994,962,1115,23,521205,5211,5052,6197,211
10000,120,918,9,0,27,5,91194,911,883,973,19,475050,4749,4561,5539,158
10000,130,837,8,0,17,5,83451,834,802,918,20,440152,4400,4300,5051,113
10000,140,907,9,0,23,5,77625,776,746,883,23,419450,4193,4080,4806,162
10000,150,893,8,0,17,4,71733,717,694,837,19,382946,3828,3724,4424,109
10000,160,874,8,0,17,4,67589,675,646,801,26,371473,3713,3535,4425,111
10000,170,891,8,0,17,5,63101,630,604,711,20,352876,3527,3447,4248,100
10000,180,815,8,0,17,5,62380,623,571,724,24,329484,3293,3171,3460,47
10000,190,884,8,0,19,4,55693,556,535,668,18,312724,3126,3024,3213,36
10000,200,793,7,0,17,4,52594,525,507,635,20,299500,2994,2882,3333,54
10000,210,869,8,0,18,5,50194,501,480,591,18,289957,2898,2834,2959,30
10000,220,857,8,0,18,4,48426,484,465,537,13,280569,2804,2663,3341,129
10000,230,857,8,0,17,4,46568,465,444,572,21,263645,2635,2499,2868,51
10000,240,873,8,0,17,5,44082,440,420,610,26,252684,2525,2450,2781,46
10000,250,840,8,0,18,4,41369,413,399,505,16,240667,2405,2353,2506,33
