Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
20000,10,1682,16,0,51,10,174252,1742,-968130,32699,171412,705787,97056,85094,105121,5254
20000,20,1812,18,0,49,9,485769,4857,-985293,15649,100015,672497,56723,53454,60333,1366
20000,30,1828,18,1,66,10,926892,9268,8999,9532,119,5471,40053,38128,42850,1064
20000,40,1778,17,0,35,9,663843,6638,6291,6823,75,33602,30334,29456,32792,569
20000,50,1934,19,0,34,9,509749,5097,5011,5276,49,523430,25232,24164,28222,670
20000,60,1802,18,1,35,10,416044,4160,4080,4349,52,148892,21487,20605,26471,809
20000,70,1638,16,0,34,10,352710,3526,3347,3896,79,8778,20086,19262,21605,561
20000,80,1571,15,0,35,9,297348,2973,2888,3131,41,733498,17333,16771,18906,445
20000,90,1631,16,0,35,10,260993,2609,2511,2713,37,627059,16269,15809,18926,421
20000,100,1632,16,1,34,10,231238,2312,2243,2512,41,447983,14478,13999,15507,356
20000,110,1760,17,0,35,9,207799,2077,2033,2166,27,350555,13504,12789,14505,336
20000,120,1774,17,0,48,11,189942,1899,1853,2000,27,215582,12154,11804,13371,293
20000,130,1669,16,1,35,9,178216,1782,1698,2307,73,138485,11383,10974,12128,274
20000,140,1889,18,0,39,10,162299,1622,1573,1912,42,85325,10851,10299,11936,288
20000,150,1719,17,0,35,10,150435,1504,1461,1635,28,3734,10036,9633,11316,319
20000,160,1826,18,1,35,10,140016,1400,1358,1530,33,953787,9536,9248,11223,313
20000,170,1880,18,1,46,11,131524,1315,1286,1410,22,950948,9508,9285,10567,250
20000,180,1726,17,0,34,9,124752,1247,1205,1351,25,924838,9247,8946,10493,294
20000,190,1726,17,0,35,9,116923,1169,1131,1493,41,904538,9044,8781,10406,303
20000,200,1783,17,1,34,10,108738,1087,1051,1169,21,864953,8648,8441,9856,223
20000,210,1488,14,0,35,10,104081,1040,1007,1146,22,856542,8564,8082,10624,427
20000,220,1847,18,0,48,11,98756,987,952,1080,24,802911,8027,7688,9303,326
20000,230,1789,17,0,35,9,94768,947,913,1158,35,783722,7836,7511,9217,311
20000,240,1788,17,1,35,9,91358,913,887,1002,16,747840,7477,7221,9241,392
20000,250,1556,15,0,35,9,87140,871,845,967,20,727224,7271,6916,9185,565
