Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
100,10,5,0,0,1,0,9523,95,88,120,5,79783,797,319,1924,543
100,20,6,0,0,1,0,3973,39,33,76,7,19772,197,185,299,19
100,30,5,0,0,1,0,2177,21,18,28,1,16883,168,156,258,15
100,40,5,0,0,1,0,1864,18,15,25,2,14282,142,135,247,14
100,50,5,0,0,1,0,1489,14,12,21,1,11644,116,110,157,7
100,60,5,0,0,1,0,1538,15,12,46,3,11602,115,110,154,6
100,70,5,0,0,1,0,1602,15,11,45,5,11651,115,110,156,5
100,80,6,0,0,1,0,1663,16,12,75,8,12037,119,110,177,11
100,90,5,0,0,1,0,1851,18,12,53,9,11826,117,111,157,6
100,100,5,0,0,1,0,1237,12,10,45,5,9278,92,88,105,2
100,110,6,0,0,1,0,1111,11,10,13,0,9177,91,88,95,1
100,120,5,0,0,0,0,1118,11,10,14,0,9131,91,88,96,1
100,130,6,0,0,1,0,1210,12,10,67,6,9141,91,88,99,2
100,140,5,0,0,1,0,1111,11,10,14,0,9226,91,88,110,3
100,150,5,0,0,1,0,1112,11,10,14,0,9199,91,87,123,3
100,160,6,0,0,1,0,1176,11,10,74,6,9165,90,88,96,1
100,170,6,0,0,1,0,1228,12,10,74,7,9245,91,88,110,2
100,180,6,0,0,1,0,1119,11,10,14,0,9267,92,88,115,3
100,190,6,0,0,1,0,1210,12,10,60,6,9183,91,88,114,2
100,200,6,0,0,1,0,1111,11,10,14,0,9167,91,88,112,3
100,210,6,0,0,1,0,1109,11,10,15,0,9134,91,88,100,2
100,220,5,0,0,1,0,1226,12,10,127,11,9224,92,88,119,3
100,230,5,0,0,1,0,1111,11,10,13,0,9289,91,88,99,2
100,240,6,0,0,1,0,1145,11,10,46,3,9529,94,88,133,10
100,250,7,0,0,1,0,1198,11,10,76,6,9114,90,87,116,3
