Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
1000,10,93,0,0,2,1,114175,1141,1098,1280,30,295413,2953,2776,3527,98
1000,20,101,0,0,2,1,53116,531,512,616,15,151657,1515,1403,1859,82
1000,30,98,0,0,2,1,35390,353,338,425,14,107233,1071,1000,1272,53
1000,40,88,0,0,2,1,25401,253,239,342,13,78228,781,732,945,45
1000,50,96,0,0,2,1,20376,203,192,347,19,63583,635,599,806,41
1000,60,90,0,0,2,1,17020,170,160,271,13,54657,545,517,679,33
1000,70,141,1,0,24,2,14643,146,137,231,11,48901,488,465,609,30
1000,80,97,0,0,2,1,12634,126,116,176,9,43647,435,415,581,31
1000,90,95,0,0,2,1,11553,115,105,204,13,40965,408,384,557,31
1000,100,95,0,0,2,1,9421,94,84,152,8,35075,350,329,485,30
1000,110,102,0,0,2,1,9392,93,85,222,14,35869,357,338,532,27
1000,120,98,0,0,2,1,8105,80,74,141,9,32971,328,309,419,22
1000,130,101,0,0,2,1,7074,70,64,143,8,28872,288,277,356,17
1000,140,100,0,0,2,1,7115,71,64,85,4,28771,287,275,360,17
1000,150,93,0,0,2,1,6062,60,55,155,10,26424,263,247,408,22
1000,160,94,0,0,2,1,6173,61,54,137,11,26277,261,249,386,22
1000,170,133,1,0,25,2,4710,47,42,142,13,23341,233,222,327,18
1000,180,99,0,0,2,1,4629,46,42,119,9,23254,232,223,326,16
1000,190,92,0,0,2,1,4616,46,42,118,7,23693,236,225,363,22
1000,200,92,0,0,2,1,3850,38,34,78,6,21257,211,193,347,24
1000,210,104,1,0,2,0,3910,39,34,150,12,21084,210,196,362,23
1000,220,101,0,0,2,1,3771,37,34,105,7,21022,209,196,309,15
1000,230,89,0,0,2,1,3761,37,34,104,7,21131,210,197,315,17
1000,240,91,0,0,2,1,3822,38,34,97,7,20814,207,197,260,9
1000,250,98,0,0,2,1,2335,23,19,128,10,18793,187,166,254,19
