*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	175	36	0	0	1	0
20	175	32	0	0	1	0
30	175	39	0	0	1	0
40	175	42	0	0	1	0
50	175	44	0	0	1	0
60	175	50	0	0	1	0
70	175	56	0	0	1	0
80	175	58	0	0	1	0
90	175	64	0	0	1	0
100	175	67	0	0	1	0
110	175	77	0	0	1	0
120	175	74	0	0	2	0
130	175	82	0	0	2	0
140	175	91	0	0	2	1
150	175	85	0	0	2	0
160	175	116	1	0	17	1
170	175	100	0	0	2	1
180	175	98	0	0	2	1
190	175	103	0	0	2	1
200	175	117	0	0	2	1
210	175	112	0	0	2	1
220	175	129	1	0	2	0
230	175	129	1	0	2	0
240	175	146	1	0	3	0
250	175	139	1	0	3	0
260	175	146	1	0	3	0
270	175	145	1	0	3	0
280	175	149	1	0	3	0
290	175	163	1	0	3	1
300	175	174	1	0	12	1
310	175	150	1	0	3	1
320	175	161	1	0	3	1
330	175	164	1	0	3	1
340	175	171	1	0	3	1
350	175	195	1	0	18	2
360	175	174	1	0	3	1
370	175	181	1	0	4	1
380	175	190	1	0	4	1
390	175	184	1	0	4	1
400	175	215	1	0	16	2
410	175	204	1	0	4	1
420	175	207	1	0	4	1
430	175	208	1	0	4	1
440	175	231	2	0	12	1
450	175	229	2	0	4	1
460	175	205	1	0	4	1
470	175	236	2	0	5	1
480	175	255	2	0	14	1
490	175	243	2	0	5	1
500	175	246	2	0	5	1
510	175	249	2	0	5	1
520	175	267	2	0	12	1
530	175	275	2	0	5	1
540	175	267	2	0	5	1
550	175	276	2	0	12	1
560	175	287	2	0	5	1
570	175	294	2	0	5	1
580	175	264	2	0	12	1
590	175	285	2	0	6	1
600	175	282	2	0	6	1
610	175	314	3	0	14	1
620	175	276	2	0	6	1
630	175	309	3	0	6	1
640	175	322	3	0	11	1
650	175	314	3	0	6	1
660	175	312	2	0	6	1
670	175	314	3	0	15	2
680	175	340	3	0	6	1
690	175	330	3	0	6	1
700	175	334	3	0	15	2
710	175	327	3	0	7	1
720	175	337	3	0	7	2
730	175	365	3	0	10	2
740	175	353	3	0	7	1
750	175	379	3	0	14	2
760	175	356	3	0	7	1
770	175	379	3	0	7	2
780	175	395	3	0	11	2
790	175	382	3	0	7	2
800	175	388	3	0	16	2
810	175	408	3	0	7	2
820	175	382	3	0	16	2
830	175	393	3	0	8	2
840	175	403	3	0	16	2
850	175	432	4	0	7	2
860	175	433	4	0	8	2
870	175	395	3	0	8	2
880	175	430	4	0	8	2
890	175	304	2	0	11	1
900	175	300	2	0	6	1
910	175	295	2	0	6	1
920	175	296	2	0	10	2
930	175	311	2	0	6	1
940	175	295	2	0	6	1
950	175	283	2	0	9	1
960	175	283	2	0	6	2
970	175	310	3	0	6	1
980	175	327	3	0	12	1
990	175	311	3	0	6	1
1000	175	308	2	0	7	2

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	327	3	0	12	1
1000	20	299	2	0	6	2
1000	30	317	3	0	6	1
1000	40	273	2	0	18	2
1000	50	265	2	0	5	1
1000	60	251	2	0	5	1
1000	70	250	2	0	5	1
1000	80	251	2	0	8	1
1000	90	247	2	0	5	1
1000	100	245	2	0	5	1
1000	110	241	2	0	5	1
1000	120	248	2	0	9	1
1000	130	253	2	0	5	1
1000	140	253	2	0	5	1
1000	150	257	2	0	5	1
1000	160	244	2	0	9	1
1000	170	279	2	0	5	1
1000	180	248	2	0	5	1
1000	190	258	2	0	9	1
1000	200	249	2	0	5	1
1000	210	255	2	0	5	1
1000	220	258	2	0	5	1
1000	230	238	2	0	17	2
1000	240	201	1	0	4	1
1000	250	197	1	0	4	1
