*******************************************************
Search Testing Application
        Mode: process
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=225)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n       ns      total   average min     max     stdev
10      225     11786   116     109     197     14
20      225     11515   114     108     163     9
30      225     11531   114     108     189     9
40      225     11621   115     108     190     11
50      225     11768   117     109     195     14
60      225     11614   115     109     194     11
70      225     11531   115     108     204     11
80      225     11619   115     108     224     13
90      225     12264   121     110     215     15
100     225     12187   120     109     189     14
110     225     11629   115     108     182     10
120     225     12058   119     109     188     13
130     225     11460   114     109     192     9
140     225     11469   114     108     188     8
150     225     11386   113     109     198     8
160     225     11362   113     109     189     8
170     225     11535   114     109     204     9
180     225     13828   136     110     272     40
190     225     11875   117     110     171     10
200     225     11504   114     110     136     5
210     225     11834   117     109     171     11
220     225     12135   120     109     175     13
230     225     14851   148     140     269     15
240     225     14532   145     140     218     9
250     225     15184   151     140     229     16
260     225     14992   148     143     198     7
270     225     15015   149     143     202     8
280     225     14936   148     142     190     5
290     225     14932   148     139     185     6
300     225     15912   158     140     277     24
310     225     15255   152     144     192     9
320     225     14897   148     142     171     4
330     225     15069   150     143     218     11
340     225     15513   154     146     168     5
350     225     15378   152     145     178     6
360     225     15083   149     144     192     5
370     225     14982   148     143     191     6
380     225     15508   154     141     276     21
390     225     14969   149     144     189     4
400     225     14969   149     143     202     6
410     225     15013   150     144     213     9
420     225     14965   149     143     197     7
430     225     14998   148     143     177     4
440     225     14977   148     143     176     3
450     225     15084   149     144     208     7
460     225     18399   183     176     259     11
470     225     18458   184     177     242     8
480     225     19020   189     175     260     15
490     225     18852   188     177     249     14
500     225     19364   192     178     260     16
510     225     18696   185     177     270     10
520     225     18529   184     177     226     7
530     225     18583   184     175     261     11
540     225     18679   186     177     254     9
550     225     19048   189     178     351     21
560     225     18684   186     176     279     13
570     225     18624   186     176     295     13
580     225     18609   185     175     269     15
590     225     18537   183     178     222     6
600     225     18637   185     176     282     14
610     225     18719   186     178     283     17
620     225     18746   186     176     319     19
630     225     18870   188     179     231     9
640     225     18670   186     178     253     10
650     225     18605   185     179     238     9
660     225     18955   189     178     297     18
670     225     18861   187     178     232     8
680     225     25065   249     216     352     26
690     225     27194   270     243     374     23
700     225     27064   269     224     350     17
710     225     27725   276     239     356     22
720     225     27640   275     219     383     28
730     225     24435   243     221     311     13
740     225     24545   245     232     325     13
750     225     25422   254     235     319     20
760     225     24226   240     217     350     22
770     225     23431   232     223     304     13
780     225     27270   271     224     356     23
790     225     24427   243     221     358     25
800     225     25533   254     221     360     27
810     225     27770   277     239     387     25
820     225     25552   255     240     389     22
830     225     25418   254     237     364     19
840     225     30230   301     239     1517    153
850     225     48222   480     267     2179    310
860     225     26153   260     242     345     20
870     225     26717   266     235     568     38
880     225     26361   262     229     366     27
890     225     25597   255     230     381     24
900     225     25779   257     228     319     19
910     225     30627   306     266     392     20
920     225     29047   288     258     381     23
930     225     28316   281     260     362     17
940     225     28341   282     260     356     16
950     225     29082   289     257     454     29
960     225     28220   281     257     368     19
970     225     28471   284     259     404     22
980     225     28348   283     258     399     23
990     225     28343   283     257     380     20
1000    225     28292   282     258     371     15

*******************************************************

Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
1000    10      437370  4371    3866    7392    743
1000    20      223187  2230    1915    2809    246
1000    30      152641  1525    1326    2004    195
1000    40      114540  1144    985     1566    144
1000    50      96969   967     807     1259    102
1000    60      82286   821     694     1150    102
1000    70      81613   814     637     1041    91
1000    80      72323   721     580     1010    77
1000    90      60838   607     537     762     52
1000    100     58100   579     455     1312    141
1000    110     56815   567     497     742     36
1000    120     54995   548     441     978     57
1000    130     52818   526     448     1161    79
1000    140     50647   505     380     1484    127
1000    150     41440   413     367     491     16
1000    160     42799   426     361     593     33
1000    170     38560   385     322     669     49
1000    180     36496   363     315     596     42
1000    190     35047   348     305     436     26
1000    200     29780   296     264     376     25
1000    210     28494   284     265     426     22
1000    220     28663   286     263     358     17
1000    230     28906   288     265     387     24
1000    240     32083   320     266     820     90
1000    250     25474   254     230     597     45
