*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	100	1425	14	13	36	2
20	100	1416	14	13	19	0
30	100	1434	14	13	28	1
40	100	1401	13	13	18	1
50	100	1458	14	13	59	4
60	100	1429	14	14	17	0
70	100	1474	14	13	43	3
80	100	1518	15	13	98	8
90	100	1477	14	13	49	3
100	100	1474	14	13	44	3
110	100	1880	18	15	50	4
120	100	1888	18	14	52	5
130	100	2000	19	15	87	9
140	100	1823	18	15	47	3
150	100	1941	19	15	79	7
160	100	1925	19	15	49	4
170	100	1993	19	15	134	12
180	100	1976	19	15	123	11
190	100	1809	18	15	20	1
200	100	2016	20	15	117	11
210	100	2325	23	19	100	9
220	100	2315	23	19	128	10
230	100	2218	22	18	28	1
240	100	2380	23	19	120	10
250	100	2309	23	19	144	12
260	100	2391	23	19	112	10
270	100	2236	22	19	29	1
280	100	2393	23	19	103	11
290	100	2333	23	20	103	8
300	100	2344	23	19	121	9
310	100	3361	33	29	123	11
320	100	3311	33	29	142	11
330	100	3257	32	29	84	5
340	100	3256	32	27	108	7
350	100	3380	33	29	132	12
360	100	3241	32	27	45	2
370	100	3365	33	29	107	10
380	100	3284	32	28	101	8
390	100	3244	32	28	112	8
400	100	3269	32	29	79	6
410	100	5165	51	44	153	10
420	100	5119	50	43	120	9
430	100	5094	50	44	67	4
440	100	5193	51	44	135	10
450	100	5153	51	43	125	9
460	100	5079	50	44	89	4
470	100	5174	51	44	125	8
480	100	5107	50	43	95	6
490	100	5071	50	43	83	5
500	100	5082	50	43	124	10
510	100	6659	66	55	141	9
520	100	6567	65	55	155	12
530	100	6610	65	55	158	11
540	100	6689	66	55	115	8
550	100	6677	66	55	138	10
560	100	6463	64	54	122	9
570	100	6683	66	55	144	9
580	100	6567	65	55	140	10
590	100	6497	64	55	124	7
600	100	6634	66	55	141	11
610	100	8422	84	71	159	9
620	100	8422	84	69	207	15
630	100	7984	79	68	102	6
640	100	8106	80	67	143	11
650	100	7992	79	69	154	9
660	100	8029	80	70	116	6
670	100	8109	81	70	152	9
680	100	8116	81	70	104	6
690	100	8259	82	68	157	13
700	100	8107	80	70	155	9
710	100	9829	98	81	171	11
720	100	9770	97	84	191	13
730	100	9608	95	78	178	10
740	100	9952	99	79	125	8
750	100	9773	97	83	121	8
760	100	9880	98	80	147	9
770	100	9853	98	86	158	9
780	100	10009	99	81	139	8
790	100	10297	102	83	249	19
800	100	10074	100	87	154	7
810	100	11146	111	97	192	13
820	100	11180	111	98	192	14
830	100	11067	110	100	191	12
840	100	11046	110	96	190	11
850	100	11001	109	97	189	12
860	100	10939	109	97	174	8
870	100	11049	110	98	199	10
880	100	11000	109	97	139	7
890	100	10863	108	96	136	6
900	100	11054	110	98	176	9
910	100	12573	125	106	195	11
920	100	12548	125	111	198	11
930	100	12463	124	109	157	8
940	100	12754	127	108	189	11
950	100	12382	123	109	184	9
960	100	12441	124	113	173	9
970	100	12612	126	110	191	10
980	100	12733	127	111	212	13
990	100	12576	125	112	172	9
1000	100	12631	126	107	172	9

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	151610	1516	1434	1791	55
1000	20	75831	758	674	931	41
1000	30	46897	468	443	559	19
1000	40	33044	330	314	378	11
1000	50	26218	262	243	317	12
1000	60	21977	219	197	330	17
1000	70	19578	195	178	256	14
1000	80	16615	166	144	214	11
1000	90	15248	152	139	219	9
1000	100	12326	123	111	184	10
1000	110	12128	121	105	173	9
1000	120	10905	108	94	172	11
1000	130	9637	96	84	112	6
1000	140	9694	96	81	205	15
1000	150	7964	79	66	154	9
1000	160	7945	79	68	119	7
1000	170	6321	63	54	74	5
1000	180	6696	66	54	133	9
1000	190	6754	67	55	199	14
1000	200	5081	50	43	119	7
1000	210	5091	50	44	132	9
1000	220	5054	50	43	111	8
1000	230	5016	50	44	112	6
1000	240	5069	50	43	98	7
1000	250	3228	32	28	65	4
