*******************************************************
Search Testing Application
        Mode: process
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=10)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n       ns      total   average min     max     stdev
10      10      13457   133     117     302     25
20      10      17102   170     150     260     23
30      10      20709   206     184     460     35
40      10      24217   241     220     327     23
50      10      29478   294     256     438     37
60      10      32374   322     291     448     24
70      10      36303   361     325     498     31
80      10      40385   403     364     537     34
90      10      47068   469     405     736     56
100     10      48995   488     439     690     42
110     10      53124   530     469     789     55
120     10      60062   599     510     886     78
130     10      61169   610     546     828     57
140     10      65610   655     584     934     68
150     10      69558   693     618     1030    76
160     10      76161   758     657     1016    77
170     10      79166   790     693     1160    89
180     10      83151   830     737     1337    88
190     10      93068   929     769     1330    120
200     10      96112   959     809     2070    197
210     10      96344   961     844     1357    111
220     10      98913   987     883     1665    121
230     10      102667  1025    924     1364    86
240     10      124195  1240    972     1688    165
250     10      143806  1436    1078    1751    140
260     10      116482  1163    1039    1801    164
270     10      122617  1224    1077    1779    161
280     10      122458  1223    1115    1655    102
290     10      143902  1437    1162    1936    228
300     10      138496  1383    1216    2152    204
310     10      142215  1420    1249    2071    227
320     10      155624  1554    1293    2298    260
330     10      156035  1559    1346    2095    175
340     10      156863  1567    1383    2434    211
350     10      151433  1513    1435    1838    73
360     10      156914  1567    1470    1876    69
370     10      167468  1673    1533    2443    201
380     10      231383  2312    1995    2806    173
390     10      187945  1878    1625    2467    223
400     10      189985  1898    1676    2814    273
410     10      198710  1985    1715    2896    236
420     10      226313  2261    1785    2651    182
430     10      259769  2596    1871    3206    250
440     10      207730  2075    1896    2895    191
450     10      212279  2121    1929    2722    177
460     10      235303  2351    1993    3187    288
470     10      279954  2797    2235    6355    424
480     10      233211  2326    2085    4049    279
490     10      227697  2275    2151    2778    104
500     10      246821  2466    2209    3465    251
510     10      251113  2509    2277    3491    226
520     10      262995  2628    2315    3518    231
530     10      280299  2801    2393    3668    319
540     10      272271  2721    2416    3566    204
550     10      270359  2702    2483    3235    189
560     10      277313  2771    2550    3406    192
570     10      300168  3000    2608    4378    399
580     10      344740  3445    2696    4561    438
590     10      304022  3038    2741    3902    259
600     10      330776  3306    2874    4246    269
610     10      335408  3352    2874    4178    304
620     10      335032  3348    2986    5296    432
630     10      376706  3765    2985    5233    476
640     10      335249  3350    3111    4497    202
650     10      352008  3518    3138    4455    267
660     10      374448  3742    3212    5309    401
670     10      393014  3928    3330    5447    560
680     10      421729  4215    3419    8646    658
690     10      383219  3830    3465    4658    300
700     10      419939  4197    3506    6121    596
710     10      393660  3934    3571    4786    288
720     10      421725  4215    3685    5454    351
730     10      482321  4821    3870    6061    580
740     10      434882  4347    3858    5449    263
750     10      444512  4443    4094    4950    168
760     10      497933  4977    4050    6318    611
770     10      466867  4666    4149    5517    256
780     10      499298  4991    4351    6833    597
790     10      507319  5071    4686    5894    226
800     10      517380  5172    4718    6054    265
810     10      528991  5288    4566    7381    561
820     10      565261  5650    4918    8117    569
830     10      552165  5519    5031    6413    320
840     10      600309  6001    5144    8142    597
850     10      574353  5741    5309    6903    340
860     10      587413  5872    5360    6723    364
870     10      622639  6224    5629    7181    390
880     10      638951  6387    5656    15989   1058
890     10      641747  6415    5787    7409    339
900     10      647561  6473    5898    7953    415
910     10      658731  6585    6116    7618    358
920     10      667501  6673    6249    7976    320
930     10      686359  6861    6376    7682    305
940     10      728933  7287    6582    11722   531
950     10      756389  7562    6728    9798    664
960     10      750773  7505    7116    8228    209
970     10      793964  7937    7059    9755    539
980     10      809305  8091    7247    9658    512
990     10      852562  8523    7514    10937   777
1000    10      866962  8667    7950    9555    373

*******************************************************

Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
1000    10      853177  8530    7996    9733    374
1000    20      451844  4516    3944    5313    333
1000    30      287581  2874    2699    3612    158
1000    40      216064  2159    2023    2704    135
1000    50      202356  2022    1648    5526    566
1000    60      154683  1545    1386    2091    149
1000    70      131267  1311    1237    1561    53
1000    80      125497  1253    1104    1660    121
1000    90      117497  1173    1036    1374    61
1000    100     97454   974     857     1308    89
1000    110     104626  1045    858     3067    278
1000    120     87147   870     792     1058    66
1000    130     74492   743     720     885     25
1000    140     77792   777     717     995     62
1000    150     68837   687     641     862     46
1000    160     69484   693     638     876     48
1000    170     62459   624     564     746     47
1000    180     61117   611     558     733     33
1000    190     61391   613     566     799     42
1000    200     52745   525     489     700     36
1000    210     52181   520     493     658     32
1000    220     52498   523     487     625     30
1000    230     52934   528     492     664     36
1000    240     52399   523     484     745     37
1000    250     45239   451     415     565     35
