*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	225	1484	14	13	78	6
20	225	1416	14	13	17	0
30	225	1413	14	13	17	0
40	225	1476	14	13	74	6
50	225	1470	14	13	50	4
60	225	1431	14	13	21	1
70	225	1420	14	13	17	0
80	225	1422	14	13	19	0
90	225	1569	15	13	100	9
100	225	1419	14	13	19	0
110	225	1445	14	13	44	3
120	225	1463	14	13	48	3
130	225	1497	14	13	99	8
140	225	1418	14	13	18	0
150	225	1650	16	13	70	8
160	225	1423	14	13	20	0
170	225	1413	14	13	16	0
180	225	1484	14	13	77	6
190	225	1443	14	13	30	2
200	225	1430	14	13	25	1
210	225	1494	14	13	76	6
220	225	1417	14	13	16	0
230	225	1819	18	15	75	5
240	225	1775	17	15	23	1
250	225	1844	18	15	89	7
260	225	1873	18	15	92	7
270	225	1811	18	15	22	1
280	225	1896	18	15	33	3
290	225	2305	22	15	121	14
300	225	2045	20	15	102	10
310	225	2006	19	15	159	14
320	225	2136	21	15	131	15
330	225	1973	19	15	68	7
340	225	2118	21	15	159	15
350	225	2075	20	15	110	12
360	225	1981	19	15	66	7
370	225	2272	22	15	72	12
380	225	2016	20	15	67	7
390	225	2248	22	15	151	19
400	225	1793	17	15	46	3
410	225	2093	20	15	148	15
420	225	2077	20	15	68	9
430	225	1985	19	15	123	11
440	225	2030	20	15	157	14
450	225	2039	20	15	52	7
460	225	2394	23	19	142	14
470	225	2184	21	19	107	8
480	225	2234	22	19	109	9
490	225	2144	21	19	33	2
500	225	2296	22	19	129	10
510	225	2249	22	19	87	6
520	225	2371	23	19	198	17
530	225	2296	22	19	153	13
540	225	2248	22	19	114	9
550	225	2310	23	19	90	7
560	225	2295	22	19	114	9
570	225	2321	23	20	96	7
580	225	2443	24	19	147	16
590	225	2287	22	19	117	9
600	225	2315	23	19	107	8
610	225	2416	24	20	114	11
620	225	2244	22	19	26	1
630	225	2365	23	19	126	10
640	225	2260	22	19	28	1
650	225	2333	23	19	107	8
660	225	2491	24	20	130	12
670	225	2282	22	19	24	1
680	225	3439	34	28	262	23
690	225	3346	33	27	114	9
700	225	3378	33	29	123	11
710	225	3236	32	30	65	3
720	225	3295	32	28	131	10
730	225	3324	33	29	100	7
740	225	3300	32	29	121	9
750	225	3305	32	30	111	8
760	225	3286	32	29	119	8
770	225	3355	33	29	132	10
780	225	3231	32	28	37	1
790	225	3597	35	27	161	19
800	225	3369	33	27	166	14
810	225	3440	34	27	167	17
820	225	3268	32	26	120	8
830	225	3318	33	29	100	9
840	225	3289	32	28	136	10
850	225	3231	32	29	106	7
860	225	3211	32	28	110	7
870	225	3241	32	29	76	6
880	225	3324	33	27	94	8
890	225	3326	33	29	117	9
900	225	3289	32	25	93	8
910	225	5006	49	42	126	13
920	225	4862	48	43	120	8
930	225	4762	47	43	86	4
940	225	4849	48	42	116	9
950	225	4858	48	42	123	9
960	225	4866	48	42	113	9
970	225	4859	48	43	118	8
980	225	4800	47	42	96	6
990	225	4875	48	42	118	8
1000	225	4893	48	43	134	9

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	153581	1535	1410	1668	40
1000	20	73658	736	681	958	37
1000	30	48260	482	445	693	33
1000	40	35476	354	319	457	26
1000	50	29312	293	250	387	27
1000	60	24389	243	201	324	22
1000	70	21919	219	183	273	20
1000	80	18400	183	152	281	23
1000	90	16531	165	136	278	22
1000	100	12552	125	104	178	13
1000	110	13693	136	104	249	22
1000	120	11518	115	93	229	21
1000	130	10939	109	84	182	18
1000	140	10981	109	84	208	18
1000	150	9096	90	70	155	15
1000	160	9656	96	73	182	17
1000	170	6583	65	55	150	12
1000	180	6341	63	54	85	5
1000	190	6356	63	55	134	9
1000	200	4948	49	43	123	7
1000	210	5229	52	43	154	11
1000	220	4993	49	44	106	7
1000	230	5067	50	43	140	9
1000	240	5053	50	44	108	9
1000	250	3318	33	26	99	9
