*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	30	9	0	0	1	0
20	30	8	0	0	1	0
30	30	9	0	0	1	0
40	30	10	0	0	1	0
50	30	11	0	0	1	0
60	30	13	0	0	1	0
70	30	14	0	0	1	0
80	30	14	0	0	1	0
90	30	15	0	0	1	0
100	30	17	0	0	1	0
110	30	19	0	0	1	0
120	30	18	0	0	1	0
130	30	20	0	0	1	0
140	30	23	0	0	1	0
150	30	21	0	0	1	0
160	30	24	0	0	1	0
170	30	24	0	0	1	0
180	30	24	0	0	1	0
190	30	25	0	0	1	0
200	30	29	0	0	1	0
210	30	28	0	0	1	0
220	30	31	0	0	1	0
230	30	31	0	0	1	0
240	30	33	0	0	1	0
250	30	35	0	0	1	0
260	30	36	0	0	1	0
270	30	36	0	0	1	0
280	30	36	0	0	1	0
290	30	40	0	0	1	0
300	30	44	0	0	3	0
310	30	37	0	0	1	0
320	30	39	0	0	1	0
330	30	40	0	0	1	0
340	30	46	0	0	1	0
350	30	48	0	0	1	0
360	30	47	0	0	1	0
370	30	49	0	0	1	0
380	30	50	0	0	1	0
390	30	48	0	0	1	0
400	30	55	0	0	1	0
410	30	54	0	0	1	0
420	30	56	0	0	1	0
430	30	55	0	0	1	0
440	30	59	0	0	1	0
450	30	61	0	0	1	0
460	30	54	0	0	2	0
470	30	68	0	0	6	0
480	30	66	0	0	2	0
490	30	64	0	0	2	0
500	30	65	0	0	2	0
510	30	66	0	0	2	0
520	30	68	0	0	2	0
530	30	73	0	0	2	0
540	30	71	0	0	2	0
550	30	71	0	0	2	0
560	30	76	0	0	2	0
570	30	78	0	0	2	0
580	30	68	0	0	2	0
590	30	75	0	0	2	0
600	30	81	0	0	6	1
610	30	81	0	0	2	0
620	30	74	0	0	2	0
630	30	82	0	0	2	0
640	30	83	0	0	2	1
650	30	84	0	0	2	1
660	30	83	0	0	2	0
670	30	82	0	0	2	1
680	30	91	0	0	2	1
690	30	88	0	0	2	1
700	30	86	0	0	2	1
710	30	91	0	0	5	1
720	30	90	0	0	2	1
730	30	95	0	0	2	1
740	30	95	0	0	2	1
750	30	99	0	0	2	1
760	30	95	0	0	2	1
770	30	101	0	0	2	1
780	30	102	1	0	2	0
790	30	102	0	0	2	1
800	30	104	1	0	3	0
810	30	108	1	0	2	0
820	30	98	0	0	2	1
830	30	105	1	0	2	0
840	30	105	1	0	2	0
850	30	115	1	0	2	0
860	30	115	1	0	2	0
870	30	105	0	0	2	1
880	30	118	1	0	6	0
890	30	114	1	0	3	0
900	30	115	1	0	2	0
910	30	114	1	0	3	0
920	30	111	1	0	2	0
930	30	119	1	0	3	0
940	30	113	1	0	3	0
950	30	106	1	0	2	0
960	30	113	1	0	5	0
970	30	120	1	0	3	0
980	30	122	1	0	3	0
990	30	119	1	0	3	0
1000	30	118	1	0	3	0

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	123	1	0	3	0
1000	20	115	1	0	3	0
1000	30	121	1	0	3	0
1000	40	130	1	0	5	0
1000	50	132	1	0	3	0
1000	60	126	1	0	3	0
1000	70	126	1	0	3	0
1000	80	123	1	0	3	0
1000	90	124	1	0	3	0
1000	100	123	1	0	3	0
1000	110	120	1	0	3	0
1000	120	125	1	0	6	0
1000	130	126	1	0	3	0
1000	140	126	1	0	3	0
1000	150	128	1	0	3	0
1000	160	120	1	0	3	0
1000	170	139	1	0	3	0
1000	180	125	1	0	3	0
1000	190	127	1	0	3	0
1000	200	128	1	0	5	0
1000	210	127	1	0	3	0
1000	220	129	1	0	3	0
1000	230	125	1	0	3	0
1000	240	125	1	0	3	0
1000	250	122	1	0	3	0
