*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	50	1395	13	13	17	1
20	50	1387	13	13	17	1
30	50	1398	13	13	21	1
40	50	1401	13	13	21	1
50	50	1472	14	13	101	8
60	50	1833	18	15	23	1
70	50	1888	18	15	48	3
80	50	2107	20	15	115	11
90	50	1850	18	15	23	1
100	50	1894	18	16	24	1
110	50	2450	24	19	72	8
120	50	2539	25	19	163	19
130	50	2468	24	19	245	22
140	50	2350	23	19	112	9
150	50	2287	22	19	32	2
160	50	3232	32	29	104	7
170	50	3371	33	28	118	12
180	50	3264	32	29	137	10
190	50	3227	32	28	81	5
200	50	3115	31	28	34	1
210	50	5133	51	42	165	14
220	50	5156	51	42	131	9
230	50	5104	50	42	130	11
240	50	5146	51	43	173	14
250	50	4974	49	42	86	5
260	50	6504	64	54	148	10
270	50	6415	64	54	113	8
280	50	6446	64	54	116	8
290	50	6524	65	54	108	7
300	50	6642	66	54	121	9
310	50	8239	82	71	145	11
320	50	8222	82	66	143	9
330	50	8230	82	70	113	6
340	50	8463	84	71	228	16
350	50	8439	84	70	185	11
360	50	10069	100	79	160	10
370	50	9978	99	80	176	12
380	50	9957	99	82	175	11
390	50	9885	98	79	221	14
400	50	9942	99	79	187	12
410	50	10743	107	94	138	6
420	50	10558	105	94	138	6
430	50	10699	106	97	125	5
440	50	10815	108	93	169	10
450	50	10559	105	91	127	6
460	50	12320	123	106	200	12
470	50	12143	121	107	146	7
480	50	12252	122	107	215	14
490	50	12745	127	108	251	20
500	50	12635	126	114	204	12
510	50	14374	143	125	365	25
520	50	14175	141	128	224	12
530	50	13959	139	125	255	14
540	50	13836	138	123	182	9
550	50	13970	139	125	201	10
560	50	15322	153	135	268	16
570	50	15136	151	138	210	10
580	50	15083	150	134	176	7
590	50	15199	151	135	187	10
600	50	15268	152	138	204	10
610	50	16755	167	152	221	12
620	50	17004	169	153	241	11
630	50	16814	168	154	212	9
640	50	16534	165	151	223	10
650	50	16909	169	154	207	9
660	50	18758	187	173	419	27
670	50	18487	184	173	295	15
680	50	19285	192	172	727	55
690	50	18351	183	172	232	10
700	50	18413	183	174	231	10
710	50	20071	200	180	250	10
720	50	19775	197	180	301	14
730	50	19858	198	180	234	9
740	50	20015	200	182	253	12
750	50	19525	195	176	309	15
760	50	20487	204	186	269	11
770	50	20705	206	188	320	15
780	50	20970	209	186	276	15
790	50	20792	207	191	286	13
800	50	20520	205	185	295	14
810	50	22177	221	205	286	12
820	50	22309	222	202	300	14
830	50	22145	221	204	364	17
840	50	22200	221	207	286	13
850	50	22071	220	208	260	8
860	50	23842	238	222	312	15
870	50	23633	236	221	289	10
880	50	23673	236	220	292	10
890	50	23506	234	221	275	10
900	50	24222	242	224	327	19
910	50	27648	276	243	359	22
920	50	25607	255	232	363	21
930	50	26289	262	232	357	25
940	50	27271	272	236	351	19
950	50	25019	250	233	412	19
960	50	26617	266	249	343	15
970	50	26616	265	249	320	11
980	50	26474	264	250	349	14
990	50	26368	263	249	363	16
1000	50	26369	263	246	326	11

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	154187	1541	1418	1702	63
1000	20	76844	768	715	836	24
1000	30	51377	513	458	602	29
1000	40	37140	371	339	450	22
1000	50	29317	293	255	362	23
1000	60	22800	227	207	321	17
1000	70	19770	197	179	259	11
1000	80	16993	169	154	209	8
1000	90	15358	153	135	224	10
1000	100	12580	125	108	271	16
1000	110	12246	122	105	148	8
1000	120	11078	110	96	172	9
1000	130	9787	97	83	153	9
1000	140	9843	98	83	186	14
1000	150	8189	81	66	162	13
1000	160	8054	80	69	152	10
1000	170	6557	65	55	108	8
1000	180	6390	63	55	88	5
1000	190	6279	62	54	139	10
1000	200	4985	49	43	89	5
1000	210	4953	49	43	160	11
1000	220	4948	49	43	130	10
1000	230	4922	49	43	74	4
1000	240	4856	48	43	90	5
1000	250	3283	32	27	82	6
