*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	150	1590	15	13	92	10
20	150	1429	14	13	21	0
30	150	1503	14	13	61	5
40	150	1435	14	14	19	0
50	150	1517	15	14	51	4
60	150	1455	14	14	18	0
70	150	1535	15	14	90	7
80	150	1458	14	14	18	0
90	150	1460	14	14	17	0
100	150	1469	14	14	19	0
110	150	1558	15	14	103	8
120	150	1472	14	14	18	0
130	150	1549	15	14	68	5
140	150	1475	14	14	18	0
150	150	1670	16	14	154	14
160	150	2385	23	16	336	31
170	150	2490	24	16	344	35
180	150	1940	19	15	25	1
190	150	1914	19	16	22	1
200	150	2020	20	16	106	9
210	150	1911	19	16	23	1
220	150	1959	19	16	26	1
230	150	2212	22	16	263	24
240	150	1929	19	16	23	0
250	150	1970	19	16	30	2
260	150	1915	19	16	23	1
270	150	1951	19	16	35	2
280	150	1976	19	16	38	2
290	150	2143	21	16	205	18
300	150	1945	19	16	38	2
310	150	2975	29	23	135	10
320	150	2877	28	24	42	2
330	150	2799	27	23	41	2
340	150	2885	28	23	134	10
350	150	3027	30	25	186	18
360	150	2939	29	25	121	9
370	150	2881	28	25	117	9
380	150	2871	28	25	53	3
390	150	2933	29	23	85	7
400	150	2877	28	24	57	3
410	150	2535	25	22	158	13
420	150	2396	23	20	54	3
430	150	2422	24	20	123	10
440	150	2493	24	20	162	14
450	150	2372	23	20	50	3
460	150	3196	31	26	44	2
470	150	3352	33	27	123	9
480	150	3350	33	26	145	11
490	150	3216	32	26	47	2
500	150	3268	32	26	88	5
510	150	3223	32	26	93	6
520	150	3341	33	27	122	11
530	150	3327	33	27	110	9
540	150	3365	33	27	109	10
550	150	3342	33	29	98	8
560	150	3305	32	27	123	9
570	150	3286	32	27	115	8
580	150	3312	33	30	90	6
590	150	3313	32	28	114	9
600	150	3274	32	27	90	6
610	150	5312	52	43	158	13
620	150	4882	48	42	121	8
630	150	5213	51	43	164	12
640	150	5002	49	43	77	4
650	150	5120	50	43	114	7
660	150	5078	50	43	82	5
670	150	5120	50	43	140	9
680	150	5017	50	43	107	6
690	150	5224	52	43	104	6
700	150	5082	50	43	115	7
710	150	5106	50	43	156	11
720	150	5007	49	43	76	4
730	150	4973	49	43	121	7
740	150	5121	50	43	90	6
750	150	5016	49	43	61	3
760	150	6409	63	54	98	6
770	150	6368	63	55	124	7
780	150	6422	64	54	131	11
790	150	6564	65	54	125	7
800	150	6306	62	54	136	9
810	150	6516	65	54	112	7
820	150	6530	65	54	120	8
830	150	6561	65	54	116	7
840	150	6406	63	55	99	7
850	150	6581	65	54	119	8
860	150	6673	66	55	149	11
870	150	6723	67	54	129	10
880	150	6555	65	55	112	7
890	150	6563	65	55	136	10
900	150	6641	66	54	131	8
910	150	8199	81	71	143	9
920	150	8162	81	67	157	10
930	150	8180	81	71	124	6
940	150	8379	83	74	108	4
950	150	8563	85	66	173	12
960	150	8434	84	72	151	8
970	150	8412	83	72	155	10
980	150	8501	84	70	173	12
990	150	8472	84	72	184	11
1000	150	8484	84	68	133	7

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	154524	1545	1488	1785	34
1000	20	71735	717	670	905	29
1000	30	46255	462	442	553	16
1000	40	33250	332	315	374	10
1000	50	26578	265	247	345	14
1000	60	22478	224	205	294	14
1000	70	19618	196	181	272	12
1000	80	16964	169	156	206	9
1000	90	15595	155	140	268	15
1000	100	12612	126	110	211	14
1000	110	12468	124	108	156	9
1000	120	10939	109	98	166	8
1000	130	9706	96	84	143	9
1000	140	9763	97	85	168	10
1000	150	8267	82	67	172	10
1000	160	8151	81	72	121	7
1000	170	6618	66	55	152	11
1000	180	6426	64	54	91	6
1000	190	6436	64	55	116	7
1000	200	5059	50	44	92	6
1000	210	5206	51	44	108	8
1000	220	5251	52	44	190	20
1000	230	4933	49	44	74	3
1000	240	4988	49	43	74	4
1000	250	3281	32	29	74	5
