*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	125	9	0	0	1	0
20	125	8	0	0	1	0
30	125	9	0	0	1	0
40	125	10	0	0	1	0
50	125	10	0	0	1	0
60	125	12	0	0	1	0
70	125	14	0	0	1	0
80	125	15	0	0	1	0
90	125	16	0	0	1	0
100	125	16	0	0	1	0
110	125	19	0	0	1	0
120	125	18	0	0	1	0
130	125	20	0	0	1	0
140	125	22	0	0	1	0
150	125	21	0	0	1	0
160	125	23	0	0	1	0
170	125	24	0	0	1	0
180	125	24	0	0	1	0
190	125	25	0	0	1	0
200	125	28	0	0	1	0
210	125	27	0	0	1	0
220	125	32	0	0	1	0
230	125	32	0	0	1	0
240	125	33	0	0	1	0
250	125	34	0	0	1	0
260	125	35	0	0	1	0
270	125	36	0	0	1	0
280	125	36	0	0	1	0
290	125	40	0	0	1	0
300	125	40	0	0	1	0
310	125	41	0	0	5	0
320	125	39	0	0	1	0
330	125	40	0	0	1	0
340	125	42	0	0	1	0
350	125	44	0	0	1	0
360	125	42	0	0	1	0
370	125	44	0	0	1	0
380	125	47	0	0	1	0
390	125	45	0	0	1	0
400	125	50	0	0	1	0
410	125	50	0	0	1	0
420	125	50	0	0	1	0
430	125	51	0	0	1	0
440	125	54	0	0	1	0
450	125	56	0	0	1	0
460	125	50	0	0	1	0
470	125	57	0	0	1	0
480	125	60	0	0	1	0
490	125	65	0	0	7	1
500	125	72	0	0	13	1
510	125	66	0	0	2	0
520	125	69	0	0	2	0
530	125	72	0	0	2	0
540	125	71	0	0	2	0
550	125	71	0	0	2	0
560	125	76	0	0	2	0
570	125	78	0	0	2	0
580	125	68	0	0	2	0
590	125	76	0	0	2	0
600	125	75	0	0	2	0
610	125	80	0	0	2	0
620	125	78	0	0	4	1
630	125	82	0	0	2	0
640	125	82	0	0	2	0
650	125	83	0	0	2	1
660	125	82	0	0	2	1
670	125	80	0	0	2	0
680	125	91	0	0	2	1
690	125	87	0	0	2	1
700	125	86	0	0	2	1
710	125	86	0	0	2	1
720	125	93	0	0	5	1
730	125	95	0	0	2	1
740	125	94	0	0	2	1
750	125	98	0	0	2	1
760	125	94	0	0	2	1
770	125	101	0	0	2	1
780	125	102	0	0	2	1
790	125	102	0	0	2	1
800	125	100	0	0	2	1
810	125	111	1	0	5	0
820	125	98	0	0	2	1
830	125	105	1	0	2	0
840	125	105	1	0	2	0
850	125	114	1	0	2	0
860	125	114	1	0	2	0
870	125	105	1	0	2	0
880	125	114	1	0	2	0
890	125	115	1	0	3	0
900	125	118	1	0	4	0
910	125	113	1	0	3	0
920	125	111	1	0	3	0
930	125	118	1	0	2	0
940	125	113	1	0	2	0
950	125	105	1	0	2	0
960	125	108	1	0	3	0
970	125	119	1	0	2	0
980	125	123	1	0	3	0
990	125	119	1	0	3	0
1000	125	118	1	0	3	0

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	123	1	0	3	0
1000	20	115	1	0	3	0
1000	30	121	1	0	3	0
1000	40	126	1	0	2	0
1000	50	135	1	0	4	0
1000	60	126	1	0	3	0
1000	70	125	1	0	3	0
1000	80	123	1	0	3	0
1000	90	123	1	0	3	0
1000	100	122	1	0	3	0
1000	110	121	1	0	3	0
1000	120	121	1	0	3	0
1000	130	129	1	0	5	0
1000	140	127	1	0	3	0
1000	150	129	1	0	3	0
1000	160	120	1	0	3	0
1000	170	138	1	0	3	0
1000	180	124	1	0	3	0
1000	190	127	1	0	3	0
1000	200	125	1	0	3	0
1000	210	131	1	0	5	0
1000	220	129	1	0	3	0
1000	230	125	1	0	3	0
1000	240	124	1	0	3	0
1000	250	122	1	0	3	0
