*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	175	1415	14	13	19	0
20	175	1494	14	13	86	7
30	175	1440	14	14	23	1
40	175	1436	14	13	22	0
50	175	1491	14	14	52	3
60	175	1447	14	14	21	0
70	175	1574	15	14	100	9
80	175	1455	14	14	22	1
90	175	1534	15	14	73	6
100	175	1440	14	13	15	0
110	175	1501	14	14	49	4
120	175	1446	14	14	19	0
130	175	1488	14	14	56	4
140	175	1454	14	13	20	0
150	175	1515	15	13	80	6
160	175	1449	14	14	16	0
170	175	1493	14	14	57	4
180	175	1945	19	15	91	7
190	175	1953	19	16	54	4
200	175	1971	19	15	52	5
210	175	1948	19	15	47	4
220	175	1949	19	16	48	3
230	175	2063	20	16	111	10
240	175	2003	19	16	122	10
250	175	1931	19	15	49	3
260	175	2117	21	16	231	21
270	175	1977	19	16	114	9
280	175	1878	18	16	26	1
290	175	2001	19	16	116	10
300	175	2038	20	15	122	10
310	175	1914	19	16	41	2
320	175	2017	20	16	114	9
330	175	1987	19	16	119	10
340	175	1888	18	16	20	1
350	175	1999	19	16	122	10
360	175	2453	24	20	111	11
370	175	2237	22	20	25	1
380	175	2380	23	20	129	10
390	175	2377	23	19	112	9
400	175	2460	24	20	137	11
410	175	2386	23	20	122	10
420	175	2331	23	20	26	1
430	175	2420	24	20	98	7
440	175	2378	23	20	31	1
450	175	2448	24	20	101	7
460	175	2509	25	20	117	12
470	175	2464	24	20	145	12
480	175	2435	24	20	95	7
490	175	2446	24	20	134	11
500	175	2443	24	20	135	11
510	175	2472	24	20	136	11
520	175	2429	24	20	105	8
530	175	3252	32	27	115	8
540	175	3267	32	28	139	10
550	175	3257	32	27	123	9
560	175	3253	32	27	63	4
570	175	3304	32	28	68	5
580	175	3319	33	27	125	9
590	175	3369	33	29	143	11
600	175	3334	33	30	83	6
610	175	3401	33	28	112	10
620	175	3373	33	29	115	10
630	175	3292	32	28	100	7
640	175	3353	33	29	98	9
650	175	3259	32	29	63	4
660	175	3324	33	28	74	4
670	175	3330	33	29	71	4
680	175	3356	33	30	75	5
690	175	3328	33	29	111	7
700	175	3391	33	30	107	7
710	175	5151	51	44	92	5
720	175	5161	51	43	137	11
730	175	5022	50	44	141	10
740	175	4929	49	43	105	6
750	175	5124	51	44	101	7
760	175	5015	49	43	88	5
770	175	5147	51	43	159	12
780	175	4957	49	43	66	3
790	175	5075	50	43	136	9
800	175	4915	48	43	67	3
810	175	5144	51	44	98	5
820	175	5018	50	43	106	6
830	175	5146	51	43	112	8
840	175	4988	49	42	79	4
850	175	5076	50	44	130	8
860	175	5051	50	44	88	4
870	175	5097	50	44	105	8
880	175	6375	63	55	126	9
890	175	6534	65	55	135	9
900	175	6450	64	54	145	9
910	175	6534	65	55	174	12
920	175	6418	64	55	97	5
930	175	6375	63	55	83	5
940	175	6629	66	55	134	9
950	175	6824	68	55	204	18
960	175	6515	65	55	156	11
970	175	6411	63	55	104	6
980	175	6581	65	56	182	17
990	175	6306	62	55	137	9
1000	175	6564	65	55	120	7

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	150797	1507	1418	1698	61
1000	20	72164	721	688	869	26
1000	30	47308	472	448	572	17
1000	40	34373	343	325	429	16
1000	50	26941	269	252	331	11
1000	60	22597	225	204	302	12
1000	70	19858	198	180	236	11
1000	80	16978	169	148	220	10
1000	90	15702	156	140	244	11
1000	100	12699	126	109	194	11
1000	110	12764	127	111	183	10
1000	120	11267	112	98	159	9
1000	130	10084	100	84	188	12
1000	140	9956	99	86	162	10
1000	150	8168	81	70	104	5
1000	160	8244	82	72	135	8
1000	170	6662	66	55	107	7
1000	180	6579	65	55	134	8
1000	190	6637	66	55	132	12
1000	200	5033	50	44	61	3
1000	210	5165	51	43	112	8
1000	220	5203	51	44	112	7
1000	230	5187	51	44	146	11
1000	240	5182	51	45	121	8
1000	250	3352	33	28	122	10
