*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	200	1448	14	13	31	1
20	200	1461	14	14	19	0
30	200	1453	14	13	18	0
40	200	1548	15	14	91	7
50	200	1443	14	14	16	0
60	200	1450	14	13	22	1
70	200	1414	14	13	18	0
80	200	1421	14	13	21	1
90	200	1437	14	13	52	3
100	200	1395	13	13	15	0
110	200	1438	14	13	29	1
120	200	1425	14	13	16	0
130	200	1547	15	13	126	11
140	200	1424	14	13	20	0
150	200	1527	15	13	91	7
160	200	1432	14	14	16	0
170	200	1556	15	14	90	8
180	200	1435	14	14	15	0
190	200	1494	14	14	69	5
200	200	1432	14	14	18	0
210	200	2019	20	15	73	9
220	200	2008	19	14	52	9
230	200	2031	20	15	93	10
240	200	1994	19	15	51	7
250	200	1964	19	15	117	10
260	200	1959	19	15	43	6
270	200	1983	19	15	114	11
280	200	1961	19	15	40	5
290	200	1961	19	15	107	9
300	200	1999	19	15	47	6
310	200	2006	20	15	95	8
320	200	2093	20	15	120	11
330	200	2050	20	15	117	11
340	200	1919	19	15	44	4
350	200	2020	20	15	128	11
360	200	1918	19	15	40	3
370	200	1989	19	15	111	9
380	200	2035	20	16	123	11
390	200	1926	19	16	43	3
400	200	2059	20	15	154	14
410	200	2259	22	19	120	10
420	200	2209	22	19	50	3
430	200	2164	21	19	30	1
440	200	2163	21	19	25	1
450	200	2262	22	20	50	4
460	200	2175	21	19	26	1
470	200	2263	22	19	87	6
480	200	2384	23	19	214	19
490	200	2274	22	19	130	10
500	200	2223	22	19	52	3
510	200	2217	22	19	33	2
520	200	2261	22	20	49	3
530	200	2266	22	19	32	2
540	200	2325	23	19	143	12
550	200	2298	22	19	47	3
560	200	2204	21	19	28	2
570	200	2327	23	19	158	13
580	200	2367	23	19	143	12
590	200	2271	22	19	31	1
600	200	2386	23	19	168	14
610	200	3285	32	25	130	9
620	200	3303	32	27	132	10
630	200	3322	33	27	100	8
640	200	3242	32	26	111	8
650	200	3201	31	27	73	4
660	200	3253	32	27	105	7
670	200	3207	31	26	70	4
680	200	3204	31	26	120	9
690	200	3273	32	27	107	10
700	200	3214	32	26	122	9
710	200	3469	34	26	180	19
720	200	3267	32	29	82	5
730	200	3240	32	27	115	8
740	200	3248	32	28	87	6
750	200	3256	32	27	81	5
760	200	3269	32	28	89	6
770	200	3226	32	27	115	8
780	200	3136	31	27	91	6
790	200	3272	32	27	102	7
800	200	3183	31	29	91	6
810	200	4932	49	42	106	8
820	200	4956	49	43	123	9
830	200	4917	48	43	117	7
840	200	4928	49	42	112	7
850	200	4883	48	42	111	8
860	200	5005	49	43	124	9
870	200	4841	48	43	136	9
880	200	4947	49	43	115	7
890	200	5320	52	50	87	4
900	200	4983	49	43	151	11
910	200	4979	49	43	115	9
920	200	5243	52	46	90	4
930	200	5374	53	47	187	14
940	200	5230	52	43	185	13
950	200	4969	49	43	152	13
960	200	4871	48	43	98	5
970	200	5060	50	44	79	5
980	200	5048	50	44	92	5
990	200	5041	50	44	142	10
1000	200	5014	49	43	119	9

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	159054	1590	1494	1709	36
1000	20	76641	766	704	938	39
1000	30	50321	503	455	608	29
1000	40	37044	370	335	457	23
1000	50	28470	284	250	377	25
1000	60	22330	223	205	273	10
1000	70	19983	199	176	317	20
1000	80	16630	166	152	268	12
1000	90	15320	153	137	199	9
1000	100	12407	123	109	208	13
1000	110	12115	121	108	168	8
1000	120	10945	109	96	178	11
1000	130	9772	97	83	175	12
1000	140	9988	99	83	239	18
1000	150	9121	91	66	210	19
1000	160	8280	82	67	128	12
1000	170	6415	64	54	143	11
1000	180	6607	65	54	151	14
1000	190	6301	62	54	108	7
1000	200	4959	49	44	84	5
1000	210	4963	49	44	113	8
1000	220	5115	50	43	95	5
1000	230	5043	50	43	110	8
1000	240	4940	49	43	109	8
1000	250	3246	32	27	59	3
