*******************************************************
Search Testing Application
        Mode: process
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=125)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n       ns      total   average min     max     stdev
10      125     11476   113     105     180     11
20      125     11622   115     105     174     13
30      125     12595   125     107     217     25
40      125     12662   126     107     232     24
50      125     13114   130     106     222     29
60      125     12260   122     108     186     17
70      125     12035   120     110     157     12
80      125     12687   125     109     198     19
90      125     12629   125     111     210     23
100     125     11854   117     110     202     13
110     125     12834   127     110     187     20
120     125     12357   122     109     192     20
130     125     15242   152     142     190     10
140     125     14800   147     139     203     9
150     125     14714   147     141     173     5
160     125     14770   146     140     174     6
170     125     14696   145     140     180     5
180     125     15623   155     141     228     15
190     125     14727   146     140     218     8
200     125     14899   148     139     212     9
210     125     14983   149     141     265     16
220     125     14605   145     141     170     5
230     125     14775   147     141     185     6
240     125     14840   147     142     199     6
250     125     14901   147     141     213     10
260     125     18361   182     173     217     10
270     125     18201   181     173     243     9
280     125     18023   179     173     248     10
290     125     17944   179     171     242     9
300     125     17884   178     172     239     7
310     125     18101   180     173     264     12
320     125     18998   189     174     219     13
330     125     18402   182     173     274     15
340     125     18214   181     173     244     10
350     125     18161   180     172     243     10
360     125     18248   181     173     275     11
370     125     18229   181     173     255     11
380     125     24698   246     208     319     22
390     125     26569   265     239     355     19
400     125     26237   262     219     312     16
410     125     24067   239     213     357     26
420     125     24460   243     209     351     28
430     125     26444   263     222     340     18
440     125     25681   255     216     333     25
450     125     27043   269     236     375     22
460     125     26477   264     221     334     18
470     125     26097   260     227     344     19
480     125     25362   253     217     348     24
490     125     24396   243     209     325     25
500     125     25420   252     211     527     40
510     125     28492   283     250     421     31
520     125     27177   270     248     374     23
530     125     27544   274     242     365     23
540     125     27155   270     244     373     18
550     125     26978   269     249     329     15
560     125     27189   271     244     338     18
570     125     29225   292     248     392     27
580     125     30578   304     283     432     21
590     125     30720   305     282     418     24
600     125     30590   304     273     402     21
610     125     30939   308     280     457     28
620     125     30661   305     273     372     21
630     125     33519   334     284     432     29
640     125     32416   324     284     431     30
650     125     33581   335     292     459     29
660     125     33714   335     285     445     32
670     125     33261   331     289     448     29
680     125     33043   329     286     451     32
690     125     33013   329     283     440     29
700     125     33824   337     285     532     44
710     125     33814   337     292     453     30
720     125     32431   324     286     382     22
730     125     33099   330     293     494     27
740     125     33199   330     284     423     21
750     125     32826   326     287     545     34
760     125     36675   365     322     463     26
770     125     37236   371     317     489     24
780     125     37063   369     316     461     28
790     125     36445   363     324     462     21
800     125     36883   367     323     469     25
810     125     37880   378     321     491     45
820     125     37799   377     322     567     48
830     125     38003   378     326     591     38
840     125     37035   368     322     504     33
850     125     37893   378     327     542     44
860     125     38504   383     330     536     38
870     125     37751   376     324     545     46
880     125     40836   407     359     535     34
890     125     41832   417     362     571     44
900     125     40656   405     358     548     38
910     125     41631   415     365     615     46
920     125     41369   412     360     643     44
930     125     42524   424     367     573     44
940     125     42190   420     363     770     52
950     125     42239   421     365     603     54
960     125     41796   416     360     574     45
970     125     42242   421     363     620     50
980     125     41802   417     361     732     51
990     125     41583   415     363     639     46
1000    125     41672   415     366     543     39

*******************************************************

Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
1000    10      431136  4309    3921    5901    354
1000    20      242232  2420    1978    3009    323
1000    30      148653  1485    1339    2054    142
1000    40      111713  1116    994     1922    141
1000    50      89214   890     809     1199    77
1000    60      85161   850     703     1598    160
1000    70      74735   746     637     1048    94
1000    80      66533   664     556     952     80
1000    90      60801   606     523     929     73
1000    100     50841   507     446     692     54
1000    110     49717   495     447     616     38
1000    120     49162   490     421     661     43
1000    130     44398   443     400     623     37
1000    140     46605   465     382     636     46
1000    150     39986   398     342     628     47
1000    160     41715   416     369     557     43
1000    170     37292   372     320     500     38
1000    180     37065   370     318     493     36
1000    190     37013   369     331     508     35
1000    200     29440   293     265     399     29
1000    210     28598   284     265     376     22
1000    220     28606   284     266     382     23
1000    230     28982   288     267     398     22
1000    240     28955   288     265     375     21
1000    250     24209   241     227     290     15
