*******************************************************
Search Testing Application
        Mode: process
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=30)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n       ns      total   average min     max     stdev
10      30      12524   125     113     456     35
20      30      12441   124     111     176     14
30      30      12465   123     111     164     13
40      30      16241   161     145     224     17
50      30      15606   155     142     221     15
60      30      15755   156     142     239     18
70      30      19503   194     175     276     22
80      30      19648   196     174     466     34
90      30      18859   188     175     296     17
100     30      23302   232     208     331     20
110     30      27045   269     223     438     31
120     30      27799   276     255     448     25
130     30      32062   318     293     887     59
140     30      31308   311     266     411     25
150     30      30984   308     281     429     21
160     30      34641   345     329     437     18
170     30      35242   351     302     447     24
180     30      35048   350     302     448     24
190     30      38267   382     321     492     32
200     30      37471   373     316     460     27
210     30      37501   373     314     514     40
220     30      39952   397     349     516     40
230     30      40039   399     350     549     41
240     30      39899   398     348     546     40
250     30      43707   435     385     706     48
260     30      45611   454     383     609     48
270     30      43330   432     383     565     41
280     30      48304   481     419     650     50
290     30      47828   477     417     678     51
300     30      49227   491     419     660     54
310     30      52365   522     455     720     58
320     30      52691   525     458     783     57
330     30      52956   527     458     727     61
340     30      58497   583     492     953     73
350     30      58977   588     490     900     79
360     30      61425   612     492     898     93
370     30      67584   674     529     966     69
380     30      66050   659     525     831     69
390     30      65374   651     535     804     63
400     30      66550   664     563     822     73
410     30      67194   671     563     865     81
420     30      61730   615     558     746     43
430     30      70296   701     600     1233    100
440     30      65479   653     600     798     40
450     30      66432   662     601     850     64
460     30      70141   699     638     854     53
470     30      70848   706     643     876     49
480     30      74323   741     639     973     85
490     30      75169   750     680     976     64
500     30      75764   755     681     995     69
510     30      75432   753     679     1003    69
520     30      94192   940     718     1096    82
530     30      95486   953     762     1155    75
540     30      88235   880     721     1140    108
550     30      85003   848     756     1191    80
560     30      89328   892     759     1210    114
570     30      87291   871     755     1756    133
580     30      89509   894     796     1197    83
590     30      89338   891     800     1230    78
600     30      88430   882     803     1058    58
610     30      91689   915     845     1148    72
620     30      92383   922     842     1175    69
630     30      92222   921     845     1254    80
640     30      95678   955     879     1210    68
650     30      98408   982     883     1412    106
660     30      96581   964     887     1161    62
670     30      101022  1008    925     1260    83
680     30      100692  1005    928     1268    69
690     30      101969  1018    930     1566    103
700     30      110968  1108    975     1705    144
710     30      107595  1074    975     1513    104
720     30      106814  1066    973     1516    103
730     30      135134  1349    1010    1675    230
740     30      111650  1115    1014    1462    101
750     30      109248  1091    1016    1336    73
760     30      113198  1130    1061    1380    62
770     30      113544  1133    1062    1289    59
780     30      117052  1169    1066    1570    93
790     30      118713  1185    1103    1423    72
800     30      118125  1179    1106    1514    71
810     30      116714  1165    1101    1327    52
820     30      127964  1278    1162    1692    107
830     30      126962  1268    1166    1652    99
840     30      127147  1269    1172    1584    89
850     30      131990  1318    1211    1727    106
860     30      131491  1313    1216    1628    103
870     30      132626  1324    1213    1745    124
880     30      162705  1625    1265    2177    175
890     30      151079  1509    1271    1982    186
900     30      135358  1352    1265    1722    83
910     30      139952  1398    1307    1729    86
920     30      139160  1390    1312    1707    80
930     30      140596  1404    1317    1826    93
940     30      144653  1445    1376    1704    65
950     30      147861  1477    1373    1927    108
960     30      152270  1521    1383    1872    110
970     30      149194  1490    1421    1729    58
980     30      151724  1515    1415    1817    75
990     30      152082  1519    1425    1889    85
1000    30      156248  1561    1479    1887    79

*******************************************************

Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
1000    10      542750  5425    4465    7235    835
1000    20      238310  2381    2207    3452    230
1000    30      157892  1577    1498    1881    66
1000    40      120207  1200    1124    1420    70
1000    50      98160   980     914     1204    50
1000    60      90401   902     801     1083    61
1000    70      76313   761     707     970     49
1000    80      66695   665     628     839     46
1000    90      60870   607     586     714     27
1000    100     52577   524     500     603     26
1000    110     57688   575     512     710     35
1000    120     56985   568     472     707     51
1000    130     47813   477     427     611     30
1000    140     44969   448     418     578     35
1000    150     43741   436     380     500     27
1000    160     44363   442     391     502     18
1000    170     38331   383     340     481     22
1000    180     38111   380     353     489     18
1000    190     40330   401     368     541     29
1000    200     34706   345     306     434     28
1000    210     34619   345     302     441     28
1000    220     35703   356     328     456     22
1000    230     35534   354     324     477     27
1000    240     35293   352     331     475     24
1000    250     29914   298     284     422     19
