*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	40	35	0	0	1	0
20	40	32	0	0	1	0
30	40	38	0	0	1	0
40	40	41	0	0	1	0
50	40	45	0	0	1	0
60	40	50	0	0	1	0
70	40	56	0	0	1	0
80	40	68	0	0	1	0
90	40	65	0	0	1	0
100	40	68	0	0	1	0
110	40	78	0	0	2	0
120	40	75	0	0	1	0
130	40	83	0	0	1	0
140	40	91	0	0	2	0
150	40	86	0	0	2	0
160	40	98	0	0	2	1
170	40	101	0	0	2	1
180	40	99	0	0	2	1
190	40	114	1	0	10	1
200	40	115	1	0	2	0
210	40	113	1	0	2	0
220	40	130	1	0	2	0
230	40	130	1	0	3	0
240	40	136	1	0	3	0
250	40	140	1	0	3	0
260	40	157	1	0	12	1
270	40	146	1	0	3	0
280	40	149	1	0	3	0
290	40	164	1	0	3	0
300	40	165	1	0	3	1
310	40	151	1	0	3	0
320	40	170	1	0	3	1
330	40	165	1	0	3	1
340	40	172	1	0	3	1
350	40	182	1	0	4	1
360	40	173	1	0	4	1
370	40	193	1	0	12	1
380	40	191	1	0	4	1
390	40	183	1	0	4	1
400	40	202	1	0	4	1
410	40	216	2	0	12	1
420	40	207	1	0	4	1
430	40	207	1	0	4	1
440	40	224	2	0	4	1
450	40	228	2	0	5	1
460	40	205	1	0	5	1
470	40	236	2	0	5	1
480	40	244	2	0	5	1
490	40	252	2	0	13	1
500	40	247	2	0	5	1
510	40	250	2	0	5	1
520	40	258	2	0	5	1
530	40	285	2	0	13	1
540	40	268	2	0	5	1
550	40	269	2	0	5	1
560	40	298	2	0	14	2
570	40	296	2	0	6	1
580	40	258	2	0	5	1
590	40	296	2	0	12	2
600	40	284	2	0	5	1
610	40	307	2	0	6	1
620	40	286	2	0	14	2
630	40	310	2	0	6	1
640	40	312	2	0	6	2
650	40	324	3	0	14	2
660	40	312	2	0	6	1
670	40	306	2	0	6	2
680	40	351	3	0	13	2
690	40	331	3	0	7	1
700	40	329	3	0	6	1
710	40	338	3	0	6	1
720	40	338	3	0	7	2
730	40	375	3	0	13	2
740	40	359	3	0	7	1
750	40	379	3	0	7	2
760	40	374	3	0	21	2
770	40	381	3	0	7	2
780	40	396	3	0	13	2
790	40	388	3	0	7	2
800	40	389	3	0	16	2
810	40	316	3	0	21	2
820	40	258	2	0	5	1
830	40	286	2	0	13	2
840	40	273	2	0	5	1
850	40	299	2	0	5	1
860	40	307	2	0	12	1
870	40	276	2	0	5	1
880	40	299	2	0	6	1
890	40	299	2	0	6	1
900	40	300	2	0	6	1
910	40	297	2	0	6	1
920	40	291	2	0	6	1
930	40	310	3	0	6	1
940	40	295	2	0	6	1
950	40	277	2	0	6	1
960	40	270	2	0	15	2
970	40	239	2	0	5	1
980	40	247	2	0	5	1
990	40	245	2	0	7	1
1000	40	237	2	0	5	1

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	247	2	0	5	1
1000	20	228	2	0	5	1
1000	30	250	2	0	9	1
1000	40	253	2	0	5	1
1000	50	264	2	0	5	1
1000	60	253	2	0	5	1
1000	70	254	2	0	9	1
1000	80	246	2	0	5	1
1000	90	248	2	0	5	1
1000	100	246	2	0	5	1
1000	110	246	2	0	6	1
1000	120	242	2	0	5	1
1000	130	253	2	0	5	1
1000	140	252	2	0	5	1
1000	150	263	2	0	7	1
1000	160	216	2	0	18	1
1000	170	226	2	0	4	1
1000	180	200	1	0	4	1
1000	190	210	2	0	7	1
1000	200	201	1	0	4	1
1000	210	206	2	0	4	1
1000	220	209	2	0	4	1
1000	230	203	1	0	4	1
1000	240	205	2	0	6	1
1000	250	198	1	0	4	1
