*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	20	13	0	0	1	0
20	20	11	0	0	1	0
30	20	14	0	0	1	0
40	20	15	0	0	1	0
50	20	16	0	0	1	0
60	20	18	0	0	1	0
70	20	20	0	0	1	0
80	20	21	0	0	1	0
90	20	23	0	0	1	0
100	20	24	0	0	1	0
110	20	28	0	0	1	0
120	20	27	0	0	1	0
130	20	29	0	0	1	0
140	20	42	0	0	9	1
150	20	31	0	0	1	0
160	20	35	0	0	1	0
170	20	36	0	0	1	0
180	20	35	0	0	1	0
190	20	38	0	0	1	0
200	20	42	0	0	1	0
210	20	41	0	0	1	0
220	20	46	0	0	1	0
230	20	47	0	0	1	0
240	20	49	0	0	1	0
250	20	50	0	0	1	0
260	20	52	0	0	1	0
270	20	52	0	0	1	0
280	20	54	0	0	1	0
290	20	58	0	0	1	0
300	20	59	0	0	1	0
310	20	55	0	0	1	0
320	20	58	0	0	1	0
330	20	64	0	0	5	0
340	20	61	0	0	2	0
350	20	64	0	0	1	0
360	20	62	0	0	2	0
370	20	82	0	0	14	1
380	20	78	0	0	2	0
390	20	75	0	0	2	0
400	20	83	0	0	2	0
410	20	84	0	0	2	1
420	20	85	0	0	2	0
430	20	85	0	0	2	0
440	20	91	0	0	2	1
450	20	97	0	0	5	1
460	20	83	0	0	2	0
470	20	96	0	0	2	1
480	20	99	0	0	2	1
490	20	99	0	0	2	1
500	20	100	0	0	2	1
510	20	102	0	0	2	1
520	20	106	1	0	2	0
530	20	112	1	0	2	0
540	20	113	1	0	6	0
550	20	109	1	0	2	0
560	20	118	1	0	2	0
570	20	121	1	0	3	0
580	20	104	1	0	2	0
590	20	116	1	0	2	0
600	20	115	1	0	3	0
610	20	125	1	0	3	0
620	20	112	1	0	3	0
630	20	127	1	0	3	0
640	20	127	1	0	3	0
650	20	128	1	0	3	0
660	20	127	1	0	3	0
670	20	124	1	0	3	0
680	20	141	1	0	3	0
690	20	139	1	0	6	1
700	20	132	1	0	3	0
710	20	134	1	0	3	0
720	20	138	1	0	3	0
730	20	146	1	0	3	0
740	20	144	1	0	3	0
750	20	157	1	0	7	1
760	20	146	1	0	3	0
770	20	156	1	0	3	1
780	20	158	1	0	3	1
790	20	156	1	0	3	1
800	20	155	1	0	3	1
810	20	172	1	0	7	1
820	20	153	1	0	3	1
830	20	161	1	0	3	1
840	20	162	1	0	3	1
850	20	177	1	0	3	1
860	20	182	1	0	6	1
870	20	162	1	0	3	1
880	20	177	1	0	4	1
890	20	177	1	0	4	1
900	20	177	1	0	4	1
910	20	179	1	0	5	1
920	20	172	1	0	4	1
930	20	184	1	0	4	1
940	20	175	1	0	4	1
950	20	163	1	0	4	1
960	20	168	1	0	4	1
970	20	185	1	0	4	1
980	20	190	1	0	4	1
990	20	185	1	0	4	1
1000	20	182	1	0	4	1

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	194	1	0	4	1
1000	20	176	1	0	4	1
1000	30	187	1	0	4	1
1000	40	195	1	0	4	1
1000	50	204	2	0	4	1
1000	60	194	1	0	4	1
1000	70	197	1	0	6	1
1000	80	190	1	0	4	1
1000	90	190	1	0	4	1
1000	100	190	1	0	4	1
1000	110	186	1	0	4	1
1000	120	191	1	0	7	1
1000	130	195	1	0	4	1
1000	140	195	1	0	4	1
1000	150	198	1	0	4	1
1000	160	185	1	0	4	1
1000	170	219	2	0	7	1
1000	180	192	1	0	4	1
1000	190	196	1	0	4	1
1000	200	193	1	0	4	1
1000	210	197	1	0	4	1
1000	220	203	2	0	7	1
1000	230	193	1	0	4	1
1000	240	192	1	0	4	1
1000	250	188	1	0	4	1
