*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	200	8	0	0	1	0
20	200	8	0	0	1	0
30	200	9	0	0	1	0
40	200	10	0	0	1	0
50	200	11	0	0	1	0
60	200	12	0	0	1	0
70	200	14	0	0	1	0
80	200	14	0	0	1	0
90	200	16	0	0	1	0
100	200	16	0	0	1	0
110	200	18	0	0	1	0
120	200	18	0	0	1	0
130	200	19	0	0	1	0
140	200	22	0	0	1	0
150	200	20	0	0	1	0
160	200	23	0	0	1	0
170	200	23	0	0	1	0
180	200	23	0	0	1	0
190	200	24	0	0	1	0
200	200	28	0	0	1	0
210	200	26	0	0	1	0
220	200	31	0	0	1	0
230	200	31	0	0	1	0
240	200	32	0	0	1	0
250	200	33	0	0	1	0
260	200	35	0	0	1	0
270	200	34	0	0	1	0
280	200	35	0	0	1	0
290	200	43	0	0	4	0
300	200	54	0	0	15	1
310	200	36	0	0	1	0
320	200	38	0	0	1	0
330	200	39	0	0	1	0
340	200	41	0	0	1	0
350	200	43	0	0	1	0
360	200	41	0	0	1	0
370	200	43	0	0	1	0
380	200	45	0	0	1	0
390	200	44	0	0	1	0
400	200	48	0	0	1	0
410	200	49	0	0	1	0
420	200	49	0	0	1	0
430	200	49	0	0	1	0
440	200	53	0	0	1	0
450	200	54	0	0	1	0
460	200	49	0	0	1	0
470	200	56	0	0	1	0
480	200	75	0	0	16	1
490	200	72	0	0	14	1
500	200	58	0	0	1	0
510	200	59	0	0	1	0
520	200	61	0	0	1	0
530	200	65	0	0	2	0
540	200	63	0	0	2	0
550	200	64	0	0	2	0
560	200	68	0	0	1	0
570	200	70	0	0	2	0
580	200	60	0	0	2	0
590	200	67	0	0	1	0
600	200	81	0	0	13	1
610	200	78	0	0	2	0
620	200	71	0	0	2	0
630	200	79	0	0	2	0
640	200	80	0	0	2	0
650	200	81	0	0	2	1
660	200	80	0	0	2	0
670	200	79	0	0	2	0
680	200	88	0	0	2	1
690	200	85	0	0	2	1
700	200	83	0	0	2	0
710	200	84	0	0	2	1
720	200	87	0	0	2	1
730	200	92	0	0	2	1
740	200	91	0	0	2	1
750	200	96	0	0	2	1
760	200	92	0	0	2	1
770	200	98	0	0	2	1
780	200	99	0	0	2	1
790	200	98	0	0	2	1
800	200	97	0	0	2	1
810	200	105	1	0	2	0
820	200	98	0	0	3	1
830	200	102	1	0	2	0
840	200	102	0	0	2	1
850	200	111	1	0	2	0
860	200	111	1	0	2	0
870	200	101	1	0	2	0
880	200	111	1	0	2	0
890	200	111	1	0	3	0
900	200	116	1	0	6	0
910	200	110	1	0	2	0
920	200	107	1	0	2	0
930	200	115	1	0	2	0
940	200	109	1	0	2	0
950	200	103	1	0	3	0
960	200	106	1	0	3	0
970	200	116	1	0	3	0
980	200	121	1	0	4	0
990	200	116	1	0	3	0
1000	200	114	1	0	3	0

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	119	1	0	2	0
1000	20	111	1	0	3	0
1000	30	118	1	0	3	0
1000	40	122	1	0	3	0
1000	50	128	1	0	3	0
1000	60	124	1	0	4	0
1000	70	121	1	0	3	0
1000	80	119	1	0	3	0
1000	90	119	1	0	3	0
1000	100	119	1	0	3	0
1000	110	117	1	0	3	0
1000	120	118	1	0	3	0
1000	130	123	1	0	3	0
1000	140	123	1	0	3	0
1000	150	128	1	0	4	0
1000	160	116	1	0	3	0
1000	170	134	1	0	3	0
1000	180	120	1	0	3	0
1000	190	124	1	0	3	0
1000	200	121	1	0	3	0
1000	210	124	1	0	3	0
1000	220	125	1	0	3	0
1000	230	124	1	0	3	0
1000	240	120	1	0	3	0
1000	250	118	1	0	3	0
