*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	150	8	0	0	1	0
20	150	8	0	0	1	0
30	150	9	0	0	1	0
40	150	10	0	0	1	0
50	150	11	0	0	1	0
60	150	12	0	0	1	0
70	150	14	0	0	1	0
80	150	14	0	0	1	0
90	150	16	0	0	1	0
100	150	17	0	0	1	0
110	150	19	0	0	1	0
120	150	18	0	0	1	0
130	150	20	0	0	1	0
140	150	22	0	0	1	0
150	150	21	0	0	1	0
160	150	24	0	0	1	0
170	150	25	0	0	1	0
180	150	24	0	0	1	0
190	150	25	0	0	1	0
200	150	29	0	0	1	0
210	150	27	0	0	1	0
220	150	32	0	0	1	0
230	150	31	0	0	1	0
240	150	33	0	0	1	0
250	150	34	0	0	1	0
260	150	36	0	0	1	0
270	150	35	0	0	1	0
280	150	37	0	0	1	0
290	150	39	0	0	1	0
300	150	44	0	0	4	0
310	150	37	0	0	1	0
320	150	39	0	0	1	0
330	150	40	0	0	1	0
340	150	41	0	0	1	0
350	150	44	0	0	1	0
360	150	42	0	0	1	0
370	150	44	0	0	1	0
380	150	46	0	0	1	0
390	150	44	0	0	1	0
400	150	50	0	0	1	0
410	150	49	0	0	1	0
420	150	50	0	0	1	0
430	150	50	0	0	1	0
440	150	54	0	0	1	0
450	150	55	0	0	1	0
460	150	50	0	0	1	0
470	150	57	0	0	1	0
480	150	76	0	0	13	1
490	150	68	0	0	5	0
500	150	65	0	0	2	0
510	150	66	0	0	2	0
520	150	69	0	0	1	0
530	150	72	0	0	2	0
540	150	71	0	0	2	0
550	150	70	0	0	2	0
560	150	76	0	0	2	0
570	150	77	0	0	2	0
580	150	67	0	0	2	0
590	150	75	0	0	2	0
600	150	75	0	0	2	0
610	150	84	0	0	4	1
620	150	72	0	0	2	0
630	150	82	0	0	2	0
640	150	83	0	0	2	1
650	150	83	0	0	2	1
660	150	82	0	0	2	1
670	150	81	0	0	2	1
680	150	90	0	0	2	1
690	150	87	0	0	2	1
700	150	87	0	0	2	1
710	150	86	0	0	2	1
720	150	93	0	0	4	1
730	150	94	0	0	2	1
740	150	93	0	0	2	1
750	150	98	0	0	2	1
760	150	93	0	0	2	1
770	150	100	0	0	2	1
780	150	101	0	0	2	1
790	150	101	0	0	2	1
800	150	99	0	0	2	1
810	150	112	1	0	6	0
820	150	98	0	0	2	1
830	150	104	0	0	2	1
840	150	104	1	0	2	0
850	150	114	1	0	2	0
860	150	115	1	0	2	0
870	150	105	1	0	2	0
880	150	113	1	0	2	0
890	150	118	1	0	6	0
900	150	115	1	0	3	0
910	150	113	1	0	3	0
920	150	111	1	0	3	0
930	150	118	1	0	2	0
940	150	113	1	0	2	0
950	150	106	1	0	3	0
960	150	108	1	0	3	0
970	150	122	1	0	5	0
980	150	123	1	0	3	0
990	150	119	1	0	3	0
1000	150	118	1	0	3	0

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	122	1	0	3	0
1000	20	113	1	0	3	0
1000	30	121	1	0	3	0
1000	40	126	1	0	3	0
1000	50	136	1	0	6	0
1000	60	125	1	0	3	0
1000	70	125	1	0	3	0
1000	80	123	1	0	3	0
1000	90	124	1	0	3	0
1000	100	123	1	0	3	0
1000	110	120	1	0	3	0
1000	120	121	1	0	3	0
1000	130	129	1	0	5	0
1000	140	126	1	0	3	0
1000	150	128	1	0	3	0
1000	160	120	1	0	3	0
1000	170	139	1	0	3	0
1000	180	123	1	0	3	0
1000	190	127	1	0	3	0
1000	200	124	1	0	3	0
1000	210	130	1	0	6	0
1000	220	128	1	0	3	0
1000	230	126	1	0	3	0
1000	240	124	1	0	3	0
1000	250	122	1	0	3	0
