*******************************************************
Search Testing Application
        Mode: process
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=150)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n       ns      total   average min     max     stdev
10      150     14282   141     116     340     29
20      150     15274   151     124     805     68
30      150     15569   154     118     274     23
40      150     12986   129     112     175     17
50      150     13676   136     113     238     26
60      150     12520   125     113     173     13
70      150     12623   126     113     198     17
80      150     12465   122     112     175     12
90      150     12982   128     113     194     17
100     150     12950   128     114     206     17
110     150     12603   125     114     194     13
120     150     12297   122     114     153     9
130     150     13606   135     114     243     25
140     150     13114   130     114     208     18
150     150     13735   137     113     202     24
160     150     16634   165     145     228     19
170     150     15786   156     145     200     10
180     150     15910   157     146     218     13
190     150     16387   162     144     407     30
200     150     16738   166     147     227     19
210     150     15940   158     143     457     32
220     150     15803   157     145     230     16
230     150     15861   158     144     210     12
240     150     15539   155     144     247     13
250     150     15261   151     144     178     5
260     150     15336   152     144     285     15
270     150     15960   158     144     226     14
280     150     16557   164     146     232     19
290     150     18690   186     146     441     35
300     150     18712   186     147     1076    93
310     150     19800   197     179     258     16
320     150     18811   188     178     262     11
330     150     19281   192     178     261     16
340     150     18728   185     176     267     10
350     150     26370   262     177     6762    656
360     150     18772   186     176     266     11
370     150     18605   185     176     258     9
380     150     18657   186     176     276     14
390     150     18693   186     176     392     23
400     150     18543   185     175     274     12
410     150     18606   185     177     277     14
420     150     18858   187     178     289     15
430     150     18787   186     176     238     9
440     150     18872   187     176     245     12
450     150     18715   186     175     277     15
460     150     27953   278     216     2015    177
470     150     27192   271     219     408     36
480     150     23697   236     216     323     21
490     150     23649   236     212     305     15
500     150     23566   234     220     339     18
510     150     24669   245     215     393     30
520     150     24244   241     216     302     20
530     150     27549   274     215     3700    346
540     150     24846   247     216     342     25
550     150     23549   235     217     311     16
560     150     23643   236     219     366     20
570     150     23618   236     221     296     13
580     150     23756   235     215     336     19
590     150     23828   236     216     316     19
600     150     24689   245     218     325     25
610     150     29019   289     255     394     23
620     150     28492   284     261     349     17
630     150     28701   286     258     388     23
640     150     28397   283     257     405     24
650     150     30485   304     264     423     29
660     150     31059   309     269     379     25
670     150     30458   303     260     409     30
680     150     30618   304     251     421     33
690     150     28278   281     258     390     20
700     150     28365   282     257     382     21
710     150     28389   283     258     394     21
720     150     28117   280     252     404     18
730     150     28335   283     255     388     25
740     150     27705   276     257     320     13
750     150     28918   287     257     387     23
760     150     35149   350     297     460     22
770     150     35563   354     312     458     20
780     150     36005   359     345     459     19
790     150     37654   375     305     524     39
800     150     38630   385     342     640     46
810     150     37131   370     339     627     42
820     150     35404   353     295     554     43
830     150     33321   331     292     418     21
840     150     33519   333     293     444     25
850     150     33419   333     292     420     23
860     150     33180   330     293     431     24
870     150     33902   338     297     444     28
880     150     33887   338     296     446     27
890     150     33379   333     297     407     22
900     150     33295   332     292     429     28
910     150     37292   371     327     530     37
920     150     37780   377     330     482     30
930     150     37514   374     332     485     31
940     150     37718   375     331     497     27
950     150     37076   370     331     548     32
960     150     37023   369     331     446     25
970     150     37688   375     332     521     30
980     150     37731   375     330     480     25
990     150     37679   376     337     449     21
1000    150     38361   382     333     512     35

*******************************************************

Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
1000    10      430252  4300    3957    5915    483
1000    20      217237  2170    1995    2785    182
1000    30      148687  1485    1359    2002    128
1000    40      118446  1182    1005    1750    215
1000    50      120978  1208    882     1395    94
1000    60      82006   818     712     1010    82
1000    70      76173   760     645     1041    89
1000    80      61501   613     566     744     36
1000    90      62371   622     525     911     85
1000    100     51311   512     452     685     53
1000    110     50831   507     453     642     40
1000    120     46283   461     417     603     36
1000    130     42076   419     377     602     39
1000    140     42805   427     379     536     38
1000    150     38835   387     345     499     36
1000    160     38175   380     342     497     32
1000    170     34393   343     310     495     28
1000    180     34821   347     310     453     27
1000    190     35091   349     308     445     27
1000    200     31849   317     275     487     42
1000    210     30085   299     269     428     29
1000    220     31052   309     274     392     29
1000    230     32171   321     280     490     37
1000    240     30816   308     273     427     33
1000    250     25325   252     233     341     23
