*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	100	9	0	0	1	0
20	100	8	0	0	1	0
30	100	9	0	0	1	0
40	100	10	0	0	1	0
50	100	11	0	0	1	0
60	100	13	0	0	1	0
70	100	14	0	0	1	0
80	100	14	0	0	1	0
90	100	16	0	0	1	0
100	100	16	0	0	1	0
110	100	19	0	0	1	0
120	100	18	0	0	1	0
130	100	20	0	0	1	0
140	100	22	0	0	1	0
150	100	21	0	0	1	0
160	100	23	0	0	1	0
170	100	24	0	0	1	0
180	100	24	0	0	1	0
190	100	25	0	0	1	0
200	100	28	0	0	1	0
210	100	28	0	0	1	0
220	100	31	0	0	1	0
230	100	34	0	0	3	0
240	100	33	0	0	1	0
250	100	34	0	0	1	0
260	100	35	0	0	1	0
270	100	36	0	0	1	0
280	100	36	0	0	1	0
290	100	39	0	0	1	0
300	100	39	0	0	1	0
310	100	37	0	0	1	0
320	100	39	0	0	1	0
330	100	40	0	0	1	0
340	100	42	0	0	1	0
350	100	44	0	0	1	0
360	100	43	0	0	1	0
370	100	44	0	0	1	0
380	100	46	0	0	1	0
390	100	45	0	0	1	0
400	100	50	0	0	1	0
410	100	50	0	0	1	0
420	100	50	0	0	1	0
430	100	51	0	0	1	0
440	100	56	0	0	4	0
450	100	56	0	0	1	0
460	100	50	0	0	1	0
470	100	58	0	0	1	0
480	100	60	0	0	1	0
490	100	59	0	0	1	0
500	100	60	0	0	2	0
510	100	61	0	0	1	0
520	100	63	0	0	2	0
530	100	66	0	0	2	0
540	100	64	0	0	2	0
550	100	65	0	0	2	0
560	100	69	0	0	2	0
570	100	71	0	0	2	0
580	100	62	0	0	2	0
590	100	72	0	0	3	0
600	100	85	0	0	13	1
610	100	81	0	0	2	0
620	100	73	0	0	2	0
630	100	81	0	0	2	1
640	100	82	0	0	2	0
650	100	83	0	0	2	1
660	100	82	0	0	2	1
670	100	81	0	0	2	0
680	100	90	0	0	2	1
690	100	87	0	0	2	1
700	100	90	0	0	5	1
710	100	97	0	0	13	1
720	100	80	0	0	2	1
730	100	84	0	0	2	1
740	100	83	0	0	2	0
750	100	87	0	0	2	1
760	100	84	0	0	2	1
770	100	90	0	0	2	1
780	100	92	0	0	2	1
790	100	90	0	0	2	1
800	100	91	0	0	2	1
810	100	97	0	0	2	1
820	100	88	0	0	2	1
830	100	93	0	0	2	1
840	100	93	0	0	2	1
850	100	102	1	0	2	0
860	100	102	0	0	2	1
870	100	94	0	0	2	1
880	100	102	0	0	2	1
890	100	104	0	0	3	1
900	100	102	1	0	2	0
910	100	101	1	0	2	0
920	100	100	0	0	2	1
930	100	107	1	0	2	0
940	100	100	0	0	2	1
950	100	95	0	0	2	1
960	100	97	0	0	2	1
970	100	107	1	0	2	0
980	100	112	1	0	5	0
990	100	107	1	0	3	0
1000	100	105	1	0	2	0

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	110	1	0	3	0
1000	20	102	0	0	2	1
1000	30	108	1	0	2	0
1000	40	112	1	0	2	0
1000	50	118	1	0	2	0
1000	60	112	1	0	3	0
1000	70	114	1	0	4	0
1000	80	110	1	0	2	0
1000	90	110	1	0	3	0
1000	100	110	1	0	2	0
1000	110	107	1	0	3	0
1000	120	109	1	0	2	0
1000	130	113	1	0	3	0
1000	140	113	1	0	2	0
1000	150	115	1	0	3	0
1000	160	110	1	0	4	0
1000	170	124	1	0	2	0
1000	180	111	1	0	3	0
1000	190	113	1	0	3	0
1000	200	111	1	0	3	0
1000	210	114	1	0	2	0
1000	220	115	1	0	2	0
1000	230	112	1	0	3	0
1000	240	113	1	0	4	0
1000	250	109	1	0	2	0
