*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	30	1411	14	13	21	0
20	30	1453	14	13	76	6
30	30	1398	13	13	19	1
40	30	1958	19	16	79	7
50	30	1949	19	15	88	8
60	30	1817	18	15	20	1
70	30	2377	23	19	131	12
80	30	2161	21	19	77	5
90	30	2242	22	19	67	4
100	30	3215	32	26	126	11
110	30	3308	32	26	149	14
120	30	3183	31	27	69	4
130	30	4986	49	42	126	10
140	30	5029	50	42	92	6
150	30	5012	49	42	97	6
160	30	6478	64	54	130	9
170	30	6501	64	54	150	15
180	30	6360	63	55	113	6
190	30	7885	78	67	178	12
200	30	7924	79	70	141	10
210	30	7673	76	67	156	11
220	30	9349	93	80	227	15
230	30	9298	92	78	186	12
240	30	9364	93	81	135	8
250	30	10905	108	95	143	6
260	30	10751	107	94	145	8
270	30	10760	107	93	164	8
280	30	12257	122	106	199	13
290	30	12094	120	109	183	8
300	30	12120	121	103	163	9
310	30	13534	135	117	160	7
320	30	13711	137	123	203	10
330	30	13447	134	124	176	8
340	30	16138	161	137	239	19
350	30	17273	172	141	260	22
360	30	15265	152	139	229	14
370	30	16478	164	151	208	9
380	30	16427	164	151	217	10
390	30	16528	165	151	240	11
400	30	17882	178	165	254	11
410	30	17944	179	165	215	9
420	30	18024	180	167	231	11
430	30	19499	194	179	244	10
440	30	19249	192	174	232	10
450	30	19601	195	177	308	15
460	30	21131	211	190	284	16
470	30	23196	231	198	344	23
480	30	22335	223	192	335	24
490	30	24502	244	206	346	23
500	30	25324	253	209	367	29
510	30	23056	230	208	334	19
520	30	24993	249	223	383	21
530	30	26940	269	229	420	27
540	30	26487	264	229	359	22
550	30	25448	254	240	290	10
560	30	27882	278	241	393	25
570	30	25371	253	240	288	9
580	30	26576	265	250	331	13
590	30	26415	264	247	371	15
600	30	26463	264	250	339	12
610	30	28300	282	267	326	10
620	30	28243	282	267	352	12
630	30	29521	295	265	376	23
640	30	32587	325	279	411	22
650	30	32322	322	293	388	20
660	30	34299	342	291	461	45
670	30	39753	397	297	564	78
680	30	31986	319	297	482	29
690	30	30908	308	288	372	15
700	30	31776	317	297	400	17
710	30	31457	314	299	359	10
720	30	31421	314	300	354	11
730	30	32996	329	313	399	12
740	30	33202	331	314	463	15
750	30	33091	330	316	384	12
760	30	34306	342	328	375	9
770	30	34561	345	328	427	13
780	30	34443	344	328	447	14
790	30	35825	358	341	451	14
800	30	35824	358	337	431	12
810	30	36348	363	341	464	19
820	30	37745	377	354	577	32
830	30	37131	371	357	411	10
840	30	37062	370	351	438	11
850	30	38634	386	369	475	15
860	30	38336	383	367	434	12
870	30	38681	386	369	444	12
880	30	39762	397	381	435	11
890	30	39787	397	381	460	12
900	30	39989	399	381	467	13
910	30	42806	427	400	523	25
920	30	41553	415	395	460	11
930	30	43551	435	398	563	31
940	30	43151	431	412	506	14
950	30	43031	430	412	471	10
960	30	42997	429	415	468	10
970	30	44623	446	429	506	12
980	30	46632	466	430	615	32
990	30	47780	477	430	534	24
1000	30	49511	495	455	633	33

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	149387	1493	1406	1601	46
1000	20	70606	705	676	837	22
1000	30	47540	475	446	589	25
1000	40	36570	365	324	480	26
1000	50	29252	292	255	354	19
1000	60	25001	249	206	362	25
1000	70	22064	220	183	302	23
1000	80	18694	186	153	283	23
1000	90	17574	175	140	286	26
1000	100	14060	140	113	210	18
1000	110	13435	134	111	191	18
1000	120	10998	109	101	178	9
1000	130	9850	98	85	198	14
1000	140	9731	97	86	205	16
1000	150	8054	80	69	136	9
1000	160	7934	79	69	140	7
1000	170	6286	62	54	125	8
1000	180	6302	62	54	94	6
1000	190	6319	63	55	98	5
1000	200	4983	49	44	111	8
1000	210	4919	49	44	61	2
1000	220	4990	49	44	126	8
1000	230	4926	49	44	73	3
1000	240	5027	50	44	152	11
1000	250	3396	33	29	98	7
