Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
10,75,9,0,0,1,0,1443,14,13,29,2,12022,119,110,184,14
20,75,8,0,0,1,0,1414,14,13,20,0,11852,117,109,155,10
30,75,10,0,0,1,0,1490,14,13,55,4,11556,115,111,140,6
40,75,10,0,0,1,0,1405,14,13,16,0,12998,129,110,166,16
50,75,11,0,0,1,0,1538,15,13,134,12,11851,118,110,155,11
60,75,12,0,0,1,0,1415,14,13,17,0,12747,127,110,186,19
70,75,13,0,0,1,0,1462,14,14,37,2,12593,124,112,225,17
80,75,14,0,0,1,0,1887,18,15,50,3,15004,148,140,230,13
90,75,16,0,0,1,0,1998,19,15,88,7,14798,146,139,192,8
100,75,16,0,0,1,0,1928,19,15,49,4,14708,146,140,172,5
110,75,31,0,0,13,1,1894,18,16,22,1,14577,145,139,189,6
120,75,17,0,0,1,0,2001,19,16,112,9,14610,145,140,212,9
130,75,20,0,0,1,0,1907,19,16,21,0,14748,147,140,208,10
140,75,22,0,0,1,0,1991,19,16,118,9,15020,150,140,199,10
150,75,20,0,0,1,0,1951,19,16,58,3,15060,150,140,196,10
160,75,23,0,0,1,0,2422,24,19,57,4,18756,186,171,251,15
170,75,24,0,0,1,0,2424,24,20,115,9,18152,180,170,287,16
180,75,23,0,0,1,0,2346,23,20,48,3,18127,180,172,243,9
190,75,25,0,0,1,0,2346,23,21,35,1,18128,180,171,281,14
200,75,28,0,0,1,0,2450,24,20,130,10,18376,183,173,222,9
210,75,26,0,0,1,0,2347,23,20,52,3,18168,181,173,273,12
220,75,31,0,0,1,0,2361,23,20,60,4,18391,183,173,268,14
230,75,31,0,0,1,0,3094,30,27,39,2,23845,238,209,336,24
240,75,31,0,0,1,0,3336,33,27,111,10,22580,224,207,302,14
250,75,33,0,0,1,0,3206,31,29,53,3,24185,240,205,333,24
260,75,34,0,0,1,0,3208,32,28,70,4,25794,256,204,343,20
270,75,35,0,0,1,0,3361,33,29,129,12,25563,254,212,331,17
280,75,35,0,0,1,0,3293,32,29,100,7,26230,261,212,379,24
290,75,39,0,0,1,0,3353,33,29,108,9,24892,247,205,374,27
300,75,39,0,0,1,0,3288,32,28,120,8,26505,263,234,358,17
310,75,36,0,0,1,0,5435,54,44,140,11,29705,296,255,405,29
320,75,38,0,0,1,0,5303,52,43,130,10,28949,289,247,460,42
330,75,39,0,0,1,0,5362,53,44,141,11,30212,300,248,435,31
340,75,40,0,0,1,0,5291,52,43,139,9,27261,271,246,335,17
350,75,43,0,0,1,0,5199,51,43,156,11,27030,269,243,368,20
360,75,72,0,0,18,1,5274,52,43,112,8,27768,276,247,375,25
370,75,43,0,0,1,0,5196,51,43,130,8,27434,273,243,348,19
380,75,45,0,0,1,0,6812,67,55,177,12,32016,319,282,422,22
390,75,44,0,0,1,0,6785,67,56,78,5,31541,315,279,431,22
400,75,48,0,0,1,0,6961,69,55,153,13,32538,325,278,425,23
410,75,49,0,0,1,0,6984,69,55,167,12,34239,341,311,433,20
420,75,49,0,0,1,0,6949,69,55,150,10,34879,347,317,469,28
430,75,49,0,0,1,0,6713,67,55,84,5,33631,334,319,394,14
440,75,53,0,0,1,0,6892,68,56,103,5,33906,338,322,429,18
450,75,54,0,0,1,0,6994,69,56,214,15,36689,366,283,477,35
460,75,48,0,0,1,0,8230,82,71,113,7,35627,355,315,446,21
470,75,56,0,0,1,0,7936,79,69,143,9,35710,356,317,436,20
480,75,58,0,0,1,0,7897,78,68,120,6,35618,354,310,474,24
490,75,58,0,0,1,0,8023,80,71,174,13,35685,356,311,470,27
500,75,59,0,0,1,0,7941,79,70,135,8,37976,379,314,498,29
510,75,59,0,0,2,0,7958,79,70,148,11,36096,359,310,488,28
520,75,64,0,0,4,0,8009,80,67,158,9,37258,371,314,513,37
530,75,98,0,0,21,2,9690,96,84,166,12,46757,466,379,611,42
540,75,63,0,0,2,0,9631,96,80,153,9,45519,454,379,565,33
550,75,63,0,0,2,0,9557,95,82,162,10,47661,475,379,570,32
560,75,68,0,0,2,0,9730,97,82,184,13,45484,453,372,594,43
570,75,70,0,0,2,0,9700,96,82,208,13,45072,450,370,573,43
580,75,61,0,0,1,0,9522,95,80,140,8,47518,473,378,571,30
590,75,68,0,0,2,0,9474,94,79,144,8,48005,478,380,566,33
600,75,68,0,0,2,0,9385,93,84,133,7,47177,471,381,603,32
610,75,72,0,0,2,0,10990,109,95,159,7,46855,467,391,631,48
620,75,66,0,0,2,0,10992,109,92,174,11,46156,460,382,587,42
630,75,73,0,0,2,0,10850,108,97,133,6,44107,439,388,591,34
640,75,74,0,0,2,0,10954,109,98,175,10,47572,475,408,632,41
650,75,77,0,0,3,0,11050,110,98,193,10,47160,470,406,595,37
660,75,74,0,0,2,0,10968,109,97,168,10,48018,479,388,664,55
670,75,88,0,0,13,1,10953,109,94,140,6,42949,428,386,529,29
680,75,87,0,0,2,1,12272,122,109,149,8,46951,468,423,644,37
690,75,84,0,0,2,0,12522,125,106,159,9,46623,465,417,562,32
700,75,83,0,0,2,1,12513,125,107,177,11,46832,467,419,589,33
710,75,84,0,0,2,1,12542,125,106,151,7,49925,498,422,638,54
720,75,87,0,0,2,1,12694,126,109,160,7,48586,484,422,657,44
730,75,91,0,0,2,1,12768,127,110,256,15,49018,488,423,632,47
740,75,91,0,0,2,1,12548,125,110,155,7,48612,485,423,614,42
750,75,95,0,0,2,1,12710,126,110,238,15,49901,498,423,656,54
760,75,94,0,0,4,1,14069,140,125,187,7,52380,522,458,666,42
770,75,106,1,0,13,1,14178,141,128,196,11,53840,537,463,650,50
780,75,91,0,0,2,1,14080,140,127,171,8,53131,530,456,687,51
790,75,91,0,0,2,1,14041,140,128,183,8,51596,514,461,686,41
800,75,89,0,0,2,1,14251,142,125,184,8,51177,510,461,625,33
810,75,96,0,0,2,1,14233,142,129,191,9,53152,530,464,705,57
820,75,89,0,0,2,1,14495,144,128,276,16,50458,503,462,667,38
830,75,93,0,0,2,1,15670,156,142,239,15,56104,559,498,766,57
840,75,93,0,0,2,1,16247,162,142,248,17,56543,564,496,726,53
850,75,106,1,0,5,0,17437,174,144,241,19,55545,554,498,701,40
860,75,103,1,0,2,0,16507,164,139,271,22,68124,680,511,885,101
870,75,93,0,0,2,1,15270,152,139,185,7,71600,714,590,877,50
880,75,101,0,0,2,1,15337,153,139,255,12,72181,720,534,881,66
890,75,103,1,0,2,0,15133,151,138,192,8,66675,665,526,847,52
900,75,103,1,0,2,0,15054,150,141,218,10,60897,607,503,824,84
910,75,102,0,0,2,1,18461,184,152,266,21,65942,658,536,881,85
920,75,99,0,0,2,1,18692,186,157,272,20,62927,628,549,851,56
930,75,107,1,0,2,0,18663,186,151,242,19,60343,602,538,859,46
940,75,104,1,0,4,0,18892,188,151,296,25,60191,601,542,772,55
950,75,94,0,0,2,1,17435,174,157,241,16,62672,625,541,769,55
960,75,97,0,0,2,1,16817,168,157,211,9,63258,631,550,804,57
970,75,107,1,0,2,0,16656,166,153,195,7,61904,618,541,865,66
980,75,110,1,0,2,0,18095,180,167,240,11,62696,625,581,740,34
990,75,107,1,0,2,0,18537,185,169,248,10,69241,691,587,952,85
1000,75,106,1,0,2,0,18634,186,167,254,12,62227,621,583,767,36
