Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
480,175,255,2,0,14,1,2435,24,20,95,7,18278,182,175,251,9
490,175,243,2,0,5,1,2446,24,20,134,11,18280,182,173,278,12
500,175,246,2,0,5,1,2443,24,20,135,11,18264,182,173,273,13
510,175,249,2,0,5,1,2472,24,20,136,11,18689,185,173,275,16
520,175,267,2,0,12,1,2429,24,20,105,8,18981,188,176,257,12
530,175,275,2,0,5,1,3252,32,27,115,8,23048,229,208,351,17
540,175,267,2,0,5,1,3267,32,28,139,10,22787,226,208,328,17
550,175,276,2,0,12,1,3257,32,27,123,9,22547,224,205,347,15
560,175,287,2,0,5,1,3253,32,27,63,4,24295,242,208,361,31
570,175,294,2,0,5,1,3304,32,28,68,5,24423,243,207,352,28
580,175,264,2,0,12,1,3319,33,27,125,9,22568,225,208,346,15
590,175,285,2,0,6,1,3369,33,29,143,11,23608,235,208,347,23
600,175,282,2,0,6,1,3334,33,30,83,6,23449,233,209,342,25
610,175,314,3,0,14,1,3401,33,28,112,10,23086,229,207,322,22
620,175,276,2,0,6,1,3373,33,29,115,10,23871,237,212,380,27
630,175,309,3,0,6,1,3292,32,28,100,7,24309,242,207,369,27
640,175,322,3,0,11,1,3353,33,29,98,9,26187,261,212,327,24
650,175,314,3,0,6,1,3259,32,29,63,4,23253,232,209,321,21
660,175,312,2,0,6,1,3324,33,28,74,4,24300,242,208,381,30
670,175,314,3,0,15,2,3330,33,29,71,4,25057,249,210,394,31
680,175,340,3,0,6,1,3356,33,30,75,5,22964,228,214,273,8
690,175,330,3,0,6,1,3328,33,29,111,7,23095,229,210,335,18
700,175,334,3,0,15,2,3391,33,30,107,7,24249,241,210,378,30
710,175,327,3,0,7,1,5151,51,44,92,5,27656,275,252,354,17
720,175,337,3,0,7,2,5161,51,43,137,11,30224,301,252,443,35
730,175,365,3,0,10,2,5022,50,44,141,10,28200,281,252,411,27
740,175,353,3,0,7,1,4929,49,43,105,6,27753,277,248,361,22
750,175,379,3,0,14,2,5124,51,44,101,7,28095,280,253,404,25
760,175,356,3,0,7,1,5015,49,43,88,5,28089,279,253,386,24
770,175,379,3,0,7,2,5147,51,43,159,12,27940,278,258,367,17
780,175,395,3,0,11,2,4957,49,43,66,3,27740,276,257,404,22
790,175,382,3,0,7,2,5075,50,43,136,9,27785,276,252,391,21
800,175,388,3,0,16,2,4915,48,43,67,3,27311,272,249,353,19
810,175,408,3,0,7,2,5144,51,44,98,5,28084,280,255,374,17
820,175,382,3,0,16,2,5018,50,43,106,6,27812,277,254,367,19
830,175,393,3,0,8,2,5146,51,43,112,8,27796,277,254,388,23
840,175,403,3,0,16,2,4988,49,42,79,4,30592,305,259,403,26
850,175,432,4,0,7,2,5076,50,44,130,8,31836,316,293,406,19
860,175,433,4,0,8,2,5051,50,44,88,4,30780,306,262,417,27
870,175,395,3,0,8,2,5097,50,44,105,8,30188,300,258,440,28
880,175,430,4,0,8,2,6375,63,55,126,9,33950,338,288,434,31
890,175,304,2,0,11,1,6534,65,55,135,9,34191,341,298,418,29
900,175,300,2,0,6,1,6450,64,54,145,9,33969,339,288,451,31
910,175,295,2,0,6,1,6534,65,55,174,12,34977,349,300,471,27
920,175,296,2,0,10,2,6418,64,55,97,5,34924,349,302,507,31
930,175,311,2,0,6,1,6375,63,55,83,5,34018,338,301,469,30
940,175,295,2,0,6,1,6629,66,55,134,9,34267,341,298,421,29
950,175,283,2,0,9,1,6824,68,55,204,18,32370,322,287,423,25
960,175,283,2,0,6,2,6515,65,55,156,11,32426,323,300,434,20
970,175,310,3,0,6,1,6411,63,55,104,6,32469,324,297,398,20
980,175,327,3,0,12,1,6581,65,56,182,17,32438,324,290,409,21
990,175,311,3,0,6,1,6306,62,55,137,9,33290,332,299,426,27
1000,175,308,2,0,7,2,6564,65,55,120,7,36016,359,306,446,24
