Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
10,175,36,0,0,1,0,1415,14,13,19,0,11787,116,110,178,11
20,175,32,0,0,1,0,1494,14,13,86,7,12963,128,109,193,22
30,175,39,0,0,1,0,1440,14,14,23,1,11931,118,109,155,11
40,175,42,0,0,1,0,1436,14,13,22,0,12055,119,110,149,12
50,175,44,0,0,1,0,1491,14,14,52,3,11749,117,109,236,14
60,175,50,0,0,1,0,1447,14,14,21,0,11459,114,106,192,12
70,175,56,0,0,1,0,1574,15,14,100,9,11334,113,107,161,9
80,175,58,0,0,1,0,1455,14,14,22,1,11510,114,107,152,10
90,175,64,0,0,1,0,1534,15,14,73,6,12528,123,107,222,28
100,175,67,0,0,1,0,1440,14,13,15,0,11911,118,110,213,13
110,175,77,0,0,1,0,1501,14,14,49,4,11961,118,110,155,11
120,175,74,0,0,2,0,1446,14,14,19,0,11757,116,110,154,10
130,175,82,0,0,2,0,1488,14,14,56,4,11728,116,107,172,12
140,175,91,0,0,2,1,1454,14,13,20,0,11306,112,106,152,7
150,175,85,0,0,2,0,1515,15,13,80,6,11365,113,107,164,9
160,175,116,1,0,17,1,1449,14,14,16,0,11359,113,107,168,10
170,175,100,0,0,2,1,1493,14,14,57,4,11492,113,107,177,10
180,175,98,0,0,2,1,1945,19,15,91,7,14765,146,138,222,13
190,175,103,0,0,2,1,1953,19,16,54,4,14536,144,136,194,10
200,175,117,0,0,2,1,1971,19,15,52,5,14590,145,136,206,11
210,175,112,0,0,2,1,1948,19,15,47,4,15532,154,137,226,18
220,175,129,1,0,2,0,1949,19,16,48,3,15989,159,142,245,17
230,175,129,1,0,2,0,2063,20,16,111,10,15949,159,141,207,15
240,175,146,1,0,3,0,2003,19,16,122,10,16355,163,143,248,20
250,175,139,1,0,3,0,1931,19,15,49,3,15672,156,142,218,14
260,175,146,1,0,3,0,2117,21,16,231,21,16110,159,142,340,25
270,175,145,1,0,3,0,1977,19,16,114,9,15772,156,143,220,16
280,175,149,1,0,3,0,1878,18,16,26,1,16076,159,141,224,17
290,175,163,1,0,3,1,2001,19,16,116,10,16094,160,145,228,17
300,175,174,1,0,12,1,2038,20,15,122,10,16167,161,146,238,16
310,175,150,1,0,3,1,1914,19,16,41,2,16802,167,143,273,23
320,175,161,1,0,3,1,2017,20,16,114,9,16241,162,144,280,23
330,175,164,1,0,3,1,1987,19,16,119,10,15843,158,142,254,18
340,175,171,1,0,3,1,1888,18,16,20,1,16131,160,145,231,16
350,175,195,1,0,18,2,1999,19,16,122,10,15884,157,144,224,14
360,175,174,1,0,3,1,2453,24,20,111,11,19190,190,175,379,24
370,175,181,1,0,4,1,2237,22,20,25,1,19512,194,171,324,22
380,175,190,1,0,4,1,2380,23,20,129,10,19223,191,173,259,19
390,175,184,1,0,4,1,2377,23,19,112,9,18984,189,174,257,15
400,175,215,1,0,16,2,2460,24,20,137,11,19044,190,175,285,17
410,175,204,1,0,4,1,2386,23,20,122,10,18576,185,173,238,10
420,175,207,1,0,4,1,2331,23,20,26,1,18728,187,175,261,14
430,175,208,1,0,4,1,2420,24,20,98,7,18527,183,174,252,9
440,175,231,2,0,12,1,2378,23,20,31,1,18449,183,172,284,14
450,175,229,2,0,4,1,2448,24,20,101,7,18320,182,174,249,9
460,175,205,1,0,4,1,2509,25,20,117,12,18348,182,174,254,11
470,175,236,2,0,5,1,2464,24,20,145,12,18332,182,175,271,13
