Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
10,200,8,0,0,1,0,1448,14,13,31,1,12514,122,108,201,20
20,200,8,0,0,1,0,1461,14,14,19,0,11383,111,106,147,5
30,200,9,0,0,1,0,1453,14,13,18,0,11628,114,107,145,9
40,200,10,0,0,1,0,1548,15,14,91,7,11463,112,106,144,7
50,200,11,0,0,1,0,1443,14,14,16,0,11405,112,107,141,7
60,200,12,0,0,1,0,1450,14,13,22,1,11477,113,107,144,8
70,200,14,0,0,1,0,1414,14,13,18,0,11272,111,108,140,5
80,200,14,0,0,1,0,1421,14,13,21,1,11381,112,107,159,7
90,200,16,0,0,1,0,1437,14,13,52,3,11830,115,107,144,10
100,200,16,0,0,1,0,1395,13,13,15,0,11526,112,107,149,7
110,200,18,0,0,1,0,1438,14,13,29,1,11646,114,107,144,9
120,200,18,0,0,1,0,1425,14,13,16,0,11553,113,107,143,9
130,200,19,0,0,1,0,1547,15,13,126,11,11497,113,107,144,7
140,200,22,0,0,1,0,1424,14,13,20,0,11766,116,108,143,10
150,200,20,0,0,1,0,1527,15,13,91,7,11400,112,108,148,7
160,200,23,0,0,1,0,1432,14,14,16,0,11669,115,108,149,10
170,200,23,0,0,1,0,1556,15,14,90,8,11619,113,108,145,8
180,200,23,0,0,1,0,1435,14,14,15,0,12119,118,107,153,12
190,200,24,0,0,1,0,1494,14,14,69,5,11877,116,108,143,10
200,200,28,0,0,1,0,1432,14,14,18,0,11910,116,107,157,11
210,200,26,0,0,1,0,2019,20,15,73,9,14914,147,136,231,14
220,200,31,0,0,1,0,2008,19,14,52,9,14626,144,138,217,11
230,200,31,0,0,1,0,2031,20,15,93,10,14676,145,138,207,11
240,200,32,0,0,1,0,1994,19,15,51,7,14585,144,137,221,11
250,200,33,0,0,1,0,1964,19,15,117,10,14601,144,137,217,11
260,200,35,0,0,1,0,1959,19,15,43,6,14640,143,137,202,8
270,200,34,0,0,1,0,1983,19,15,114,11,14825,145,137,214,13
280,200,35,0,0,1,0,1961,19,15,40,5,14899,146,138,223,13
290,200,43,0,0,4,0,1961,19,15,107,9,14723,145,138,198,11
300,200,54,0,0,15,1,1999,19,15,47,6,14524,143,137,189,7
310,200,36,0,0,1,0,2006,20,15,95,8,15033,148,138,204,12
320,200,38,0,0,1,0,2093,20,15,120,11,14976,148,137,206,12
330,200,39,0,0,1,0,2050,20,15,117,11,15049,149,139,233,12
340,200,41,0,0,1,0,1919,19,15,44,4,14934,147,138,173,9
350,200,43,0,0,1,0,2020,20,15,128,11,14976,147,138,178,10
360,200,41,0,0,1,0,1918,19,15,40,3,15130,148,138,212,13
370,200,43,0,0,1,0,1989,19,15,111,9,14969,147,138,185,10
380,200,45,0,0,1,0,2035,20,16,123,11,15031,148,138,205,12
390,200,44,0,0,1,0,1926,19,16,43,3,14947,147,138,185,10
400,200,48,0,0,1,0,2059,20,15,154,14,14944,147,138,221,12
410,200,49,0,0,1,0,2259,22,19,120,10,19429,192,174,265,22
420,200,49,0,0,1,0,2209,22,19,50,3,18901,187,175,270,16
430,200,49,0,0,1,0,2164,21,19,30,1,18477,182,175,245,9
440,200,53,0,0,1,0,2163,21,19,25,1,18694,184,174,276,16
450,200,54,0,0,1,0,2262,22,20,50,4,18556,183,174,271,14
460,200,49,0,0,1,0,2175,21,19,26,1,18609,183,174,302,17
470,200,56,0,0,1,0,2263,22,19,87,6,19294,191,177,257,16
480,200,75,0,0,16,1,2384,23,19,214,19,18486,183,174,268,13
490,200,72,0,0,14,1,2274,22,19,130,10,18539,183,175,275,14
500,200,58,0,0,1,0,2223,22,19,52,3,18428,182,175,241,10
510,200,59,0,0,1,0,2217,22,19,33,2,18647,184,174,270,17
520,200,61,0,0,1,0,2261,22,20,49,3,18440,181,175,236,8
530,200,65,0,0,2,0,2266,22,19,32,2,19199,189,175,285,20
540,200,63,0,0,2,0,2325,23,19,143,12,18573,183,174,284,16
550,200,64,0,0,2,0,2298,22,19,47,3,18857,186,175,271,16
560,200,68,0,0,1,0,2204,21,19,28,2,18768,185,176,242,11
570,200,70,0,0,2,0,2327,23,19,158,13,18498,183,176,231,10
580,200,60,0,0,2,0,2367,23,19,143,12,18871,187,176,264,12
590,200,67,0,0,1,0,2271,22,19,31,1,18750,184,174,280,14
600,200,81,0,0,13,1,2386,23,19,168,14,18904,186,176,279,15
610,200,78,0,0,2,0,3285,32,25,130,9,26284,260,210,342,26
620,200,71,0,0,2,0,3303,32,27,132,10,27163,269,232,384,21
630,200,79,0,0,2,0,3322,33,27,100,8,27293,270,237,359,19
640,200,80,0,0,2,0,3242,32,26,111,8,24894,247,217,342,24
650,200,81,0,0,2,1,3201,31,27,73,4,23023,228,212,285,12
660,200,80,0,0,2,0,3253,32,27,105,7,23136,229,211,295,14
670,200,79,0,0,2,0,3207,31,26,70,4,24816,245,214,361,28
680,200,88,0,0,2,1,3204,31,26,120,9,26976,266,229,330,20
690,200,85,0,0,2,1,3273,32,27,107,10,26537,262,212,351,22
700,200,83,0,0,2,0,3214,32,26,122,9,26010,257,222,366,27
710,200,84,0,0,2,1,3469,34,26,180,19,27024,268,225,324,15
720,200,87,0,0,2,1,3267,32,29,82,5,25031,248,213,375,23
730,200,92,0,0,2,1,3240,32,27,115,8,23212,230,212,280,11
740,200,91,0,0,2,1,3248,32,28,87,6,22989,228,214,301,11
750,200,96,0,0,2,1,3256,32,27,81,5,22710,225,210,254,7
760,200,92,0,0,2,1,3269,32,28,89,6,23262,229,208,364,21
770,200,98,0,0,2,1,3226,32,27,115,8,24229,239,208,358,29
780,200,99,0,0,2,1,3136,31,27,91,6,24814,245,212,368,30
790,200,98,0,0,2,1,3272,32,27,102,7,25377,251,211,364,26
800,200,97,0,0,2,1,3183,31,29,91,6,24544,243,214,351,26
810,200,105,1,0,2,0,4932,49,42,106,8,31531,313,272,435,25
820,200,98,0,0,3,1,4956,49,43,123,9,29658,294,254,391,28
830,200,102,1,0,2,0,4917,48,43,117,7,29160,290,257,377,23
840,200,102,0,0,2,1,4928,49,42,112,7,29938,297,253,422,33
850,200,111,1,0,2,0,4883,48,42,111,8,34269,339,289,1310,122
860,200,111,1,0,2,0,5005,49,43,124,9,33023,327,275,1172,92
870,200,101,1,0,2,0,4841,48,43,136,9,30314,300,288,426,16
880,200,111,1,0,2,0,4947,49,43,115,7,30404,302,272,399,15
890,200,111,1,0,3,0,5320,52,50,87,4,30335,301,287,394,16
900,200,116,1,0,6,0,4983,49,43,151,11,31251,310,288,531,28
910,200,110,1,0,2,0,4979,49,43,115,9,32928,327,288,446,35
920,200,107,1,0,2,0,5243,52,46,90,4,28320,281,253,432,27
930,200,115,1,0,2,0,5374,53,47,187,14,28277,280,252,399,24
940,200,109,1,0,2,0,5230,52,43,185,13,29200,289,252,449,29
950,200,103,1,0,3,0,4969,49,43,152,13,28676,284,252,401,26
960,200,106,1,0,3,0,4871,48,43,98,5,28535,283,255,398,24
970,200,116,1,0,3,0,5060,50,44,79,5,28810,286,250,396,26
980,200,121,1,0,4,0,5048,50,44,92,5,28361,281,260,346,14
990,200,116,1,0,3,0,5041,50,44,142,10,28481,283,254,369,23
1000,200,114,1,0,3,0,5014,49,43,119,9,28831,286,255,383,27
