Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
10,20,13,0,0,1,0,1621,16,13,97,8,13463,133,111,338,30
20,20,11,0,0,1,0,1547,15,13,46,3,11853,117,113,139,4
30,20,14,0,0,1,0,2779,27,16,93,13,15742,156,145,258,18
40,20,15,0,0,1,0,2360,23,16,94,10,15256,151,145,227,11
50,20,16,0,0,1,0,2350,23,21,67,4,18621,185,175,239,12
60,20,18,0,0,1,0,2288,22,20,27,1,18482,184,176,244,11
70,20,20,0,0,1,0,3204,31,27,54,3,22878,228,211,343,17
80,20,21,0,0,1,0,3142,31,28,69,4,24412,243,211,363,26
90,20,23,0,0,1,0,5289,52,43,178,16,27620,274,249,364,18
100,20,24,0,0,1,0,4972,49,43,82,5,28075,279,247,345,25
110,20,28,0,0,1,0,6433,64,53,128,9,32591,324,296,433,25
120,20,27,0,0,1,0,6534,65,54,152,10,32489,324,293,420,21
130,20,29,0,0,1,0,7930,79,65,133,9,36745,366,320,469,25
140,20,42,0,0,9,1,8172,81,67,152,9,36934,368,322,470,29
150,20,31,0,0,1,0,9526,95,82,126,7,40279,401,353,523,27
160,20,35,0,0,1,0,9490,94,80,122,7,40234,401,353,514,28
170,20,36,0,0,1,0,10779,107,93,146,7,45831,456,391,644,43
180,20,35,0,0,1,0,10813,108,91,148,7,47642,475,401,606,44
190,20,38,0,0,1,0,12303,122,103,185,11,52577,524,439,700,51
200,20,42,0,0,1,0,12408,123,104,153,9,51800,516,430,747,63
210,20,41,0,0,1,0,13894,138,119,188,9,55823,556,479,719,50
220,20,46,0,0,1,0,13888,138,125,196,9,55898,557,480,765,51
230,20,47,0,0,1,0,15202,151,137,191,8,59655,595,495,817,62
240,20,49,0,0,1,0,15470,154,134,198,9,59703,595,503,766,53
250,20,50,0,0,1,0,17193,171,148,268,17,68319,681,541,923,96
260,20,52,0,0,1,0,16841,168,150,271,13,80335,802,700,964,54
270,20,52,0,0,1,0,18244,182,165,260,12,82861,826,721,982,54
280,20,54,0,0,1,0,18258,182,162,287,15,84134,839,608,1034,76
290,20,58,0,0,1,0,19460,194,178,244,11,81683,815,620,993,66
300,20,59,0,0,1,0,19656,196,179,259,12,70273,701,601,1004,84
310,20,55,0,0,1,0,20960,209,193,261,10,73238,731,633,1002,75
320,20,58,0,0,1,0,21002,209,193,325,14,77763,776,647,1022,86
330,20,64,0,0,5,0,22819,228,200,274,16,88375,882,684,1137,106
340,20,61,0,0,2,0,24784,247,201,336,25,81025,808,679,1160,119
350,20,64,0,0,1,0,25615,255,219,417,29,83198,830,714,1128,87
360,20,62,0,0,2,0,23520,235,219,294,12,80765,806,715,957,61
370,20,82,0,0,14,1,24930,249,233,325,15,85807,856,752,1244,90
380,20,78,0,0,2,0,24977,249,233,324,11,83785,836,758,1091,75
390,20,75,0,0,2,0,25914,259,243,321,13,88205,880,796,1069,65
400,20,83,0,0,2,0,25924,259,241,316,12,89939,897,793,1442,94
410,20,84,0,0,2,1,27571,275,257,319,9,92848,927,833,1154,64
420,20,85,0,0,2,0,27382,273,260,325,12,92952,927,843,1118,62
430,20,85,0,0,2,0,28690,286,269,363,13,98856,987,876,1390,113
440,20,91,0,0,2,1,28680,286,271,356,14,96270,961,874,1280,77
450,20,97,0,0,5,1,30334,303,288,366,14,100858,1007,910,1363,98
460,20,83,0,0,2,0,30255,302,286,347,10,101398,1012,917,1282,84
470,20,96,0,0,2,1,31566,315,299,397,14,119659,1195,949,1882,166
480,20,99,0,0,2,1,31569,315,294,415,18,103625,1034,963,1288,60
490,20,99,0,0,2,1,35916,359,318,455,26,118291,1181,1001,1652,155
500,20,100,0,0,2,1,34812,348,316,487,28,153459,1532,1241,1808,104
510,20,102,0,0,2,1,34834,348,328,408,16,114850,1146,1041,1651,126
520,20,106,1,0,2,0,34324,343,326,397,10,111626,1114,1046,1377,65
530,20,112,1,0,2,0,36139,361,342,456,19,130227,1300,1084,1671,185
540,20,113,1,0,6,0,38554,385,341,525,28,128082,1279,1095,1714,176
550,20,109,1,0,2,0,37680,376,354,479,24,121548,1214,1128,1838,92
560,20,118,1,0,2,0,36994,369,352,403,9,122598,1224,1133,1742,119
570,20,121,1,0,3,0,38421,384,370,429,9,125542,1254,1172,1553,72
580,20,104,1,0,2,0,38504,384,369,424,10,127145,1269,1176,1638,88
590,20,116,1,0,2,0,39823,398,377,440,11,132292,1321,1222,1812,99
600,20,115,1,0,3,0,41260,412,381,506,26,131123,1309,1225,1503,63
610,20,125,1,0,3,0,54157,541,409,684,95,138513,1383,1266,1861,127
620,20,112,1,0,3,0,46060,460,411,752,76,138810,1386,1269,1839,119
630,20,127,1,0,3,0,45047,450,426,547,20,142038,1418,1314,1994,119
640,20,127,1,0,3,0,43971,439,420,506,15,168896,1687,1316,2161,247
