Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
10,100,9,0,0,1,0,1425,14,13,36,2,12487,123,109,205,17
20,100,8,0,0,1,0,1416,14,13,19,0,11746,116,109,170,10
30,100,9,0,0,1,0,1434,14,13,28,1,11823,117,110,160,12
40,100,10,0,0,1,0,1401,13,13,18,1,11513,114,109,210,11
50,100,11,0,0,1,0,1458,14,13,59,4,12529,124,109,245,22
60,100,13,0,0,1,0,1429,14,14,17,0,11847,118,109,153,10
70,100,14,0,0,1,0,1474,14,13,43,3,12023,120,110,182,14
80,100,14,0,0,1,0,1518,15,13,98,8,12234,120,110,181,14
90,100,16,0,0,1,0,1477,14,13,49,3,12728,126,110,189,19
100,100,16,0,0,1,0,1474,14,13,44,3,11847,117,109,147,9
110,100,19,0,0,1,0,1880,18,15,50,4,14959,148,141,259,12
120,100,18,0,0,1,0,1888,18,14,52,5,14829,147,141,185,6
130,100,20,0,0,1,0,2000,19,15,87,9,14743,147,140,200,9
140,100,22,0,0,1,0,1823,18,15,47,3,14936,149,141,215,11
150,100,21,0,0,1,0,1941,19,15,79,7,17954,179,142,227,31
160,100,23,0,0,1,0,1925,19,15,49,4,19555,194,175,304,17
170,100,24,0,0,1,0,1993,19,15,134,12,19199,189,178,283,17
180,100,24,0,0,1,0,1976,19,15,123,11,16877,167,141,245,21
190,100,25,0,0,1,0,1809,18,15,20,1,18503,184,163,287,16
200,100,28,0,0,1,0,2016,20,15,117,11,18299,181,153,232,13
210,100,28,0,0,1,0,2325,23,19,100,9,25449,253,202,415,34
220,100,31,0,0,1,0,2315,23,19,128,10,24107,240,198,358,22
230,100,34,0,0,3,0,2218,22,18,28,1,23290,232,200,342,25
240,100,33,0,0,1,0,2380,23,19,120,10,22773,227,201,400,27
250,100,34,0,0,1,0,2309,23,19,144,12,24713,245,200,392,33
260,100,35,0,0,1,0,2391,23,19,112,10,24591,244,199,320,23
270,100,36,0,0,1,0,2236,22,19,29,1,23669,235,200,370,32
280,100,36,0,0,1,0,2393,23,19,103,11,24937,248,200,349,29
290,100,39,0,0,1,0,2333,23,20,103,8,22282,221,185,362,27
300,100,39,0,0,1,0,2344,23,19,121,9,22361,222,180,272,14
310,100,37,0,0,1,0,3361,33,29,123,11,26651,266,228,347,21
320,100,39,0,0,1,0,3311,33,29,142,11,25731,257,222,315,22
330,100,40,0,0,1,0,3257,32,29,84,5,27471,273,225,333,21
340,100,42,0,0,1,0,3256,32,27,108,7,26827,266,226,359,28
350,100,44,0,0,1,0,3380,33,29,132,12,27680,275,227,366,18
360,100,43,0,0,1,0,3241,32,27,45,2,27007,268,228,392,29
370,100,44,0,0,1,0,3365,33,29,107,10,26365,262,224,379,29
380,100,46,0,0,1,0,3284,32,28,101,8,27938,278,245,362,22
390,100,45,0,0,1,0,3244,32,28,112,8,27663,276,228,369,25
400,100,50,0,0,1,0,3269,32,29,79,6,26805,267,219,385,30
410,100,50,0,0,1,0,5165,51,44,153,10,33180,331,279,419,31
420,100,50,0,0,1,0,5119,50,43,120,9,32341,321,277,420,30
430,100,51,0,0,1,0,5094,50,44,67,4,33661,335,293,417,23
440,100,56,0,0,4,0,5193,51,44,135,10,33518,333,292,384,21
450,100,56,0,0,1,0,5153,51,43,125,9,32389,323,277,461,34
460,100,50,0,0,1,0,5079,50,44,89,4,33891,338,291,419,24
470,100,58,0,0,1,0,5174,51,44,125,8,32014,319,278,443,32
480,100,60,0,0,1,0,5107,50,43,95,6,33814,337,304,441,25
490,100,59,0,0,1,0,5071,50,43,83,5,30913,308,280,415,29
500,100,60,0,0,2,0,5082,50,43,124,10,33027,328,276,413,29
510,100,61,0,0,1,0,6659,66,55,141,9,38401,382,328,476,26
520,100,63,0,0,2,0,6567,65,55,155,12,38383,382,322,545,37
530,100,66,0,0,2,0,6610,65,55,158,11,39901,398,342,525,32
540,100,64,0,0,2,0,6689,66,55,115,8,37294,372,318,509,37
550,100,65,0,0,2,0,6677,66,55,138,10,37848,378,325,494,34
560,100,69,0,0,2,0,6463,64,54,122,9,36703,366,324,508,39
570,100,71,0,0,2,0,6683,66,55,144,9,38819,388,325,476,28
580,100,62,0,0,2,0,6567,65,55,140,10,39297,391,351,477,22
590,100,72,0,0,3,0,6497,64,55,124,7,38799,386,319,465,33
600,100,85,0,0,13,1,6634,66,55,141,11,38052,378,326,460,33
610,100,81,0,0,2,0,8422,84,71,159,9,45055,449,386,625,32
620,100,73,0,0,2,0,8422,84,69,207,15,44639,444,364,550,42
630,100,81,0,0,2,1,7984,79,68,102,6,45035,449,394,562,31
640,100,82,0,0,2,0,8106,80,67,143,11,43501,433,370,583,38
650,100,83,0,0,2,1,7992,79,69,154,9,44860,447,401,543,26
660,100,82,0,0,2,1,8029,80,70,116,6,44403,442,375,585,44
670,100,81,0,0,2,0,8109,81,70,152,9,44508,444,360,606,43
680,100,90,0,0,2,1,8116,81,70,104,6,44070,439,370,549,39
690,100,87,0,0,2,1,8259,82,68,157,13,44419,443,371,603,43
700,100,90,0,0,5,1,8107,80,70,155,9,41955,418,350,614,51
710,100,97,0,0,13,1,9829,98,81,171,11,45572,454,374,628,35
720,100,80,0,0,2,1,9770,97,84,191,13,45581,454,426,584,32
730,100,84,0,0,2,1,9608,95,78,178,10,47708,476,405,1320,98
740,100,83,0,0,2,0,9952,99,79,125,8,55699,555,410,1187,132
750,100,87,0,0,2,1,9773,97,83,121,8,46955,468,377,635,41
760,100,84,0,0,2,1,9880,98,80,147,9,41121,409,357,575,53
770,100,90,0,0,2,1,9853,98,86,158,9,39112,390,358,479,28
780,100,92,0,0,2,1,10009,99,81,139,8,38890,387,357,485,30
790,100,90,0,0,2,1,10297,102,83,249,19,39437,393,357,511,29
800,100,91,0,0,2,1,10074,100,87,154,7,39012,389,357,520,31
810,100,97,0,0,2,1,11146,111,97,192,13,47317,472,393,686,71
820,100,88,0,0,2,1,11180,111,98,192,14,52607,524,458,708,46
830,100,93,0,0,2,1,11067,110,100,191,12,50972,508,449,589,20
840,100,93,0,0,2,1,11046,110,96,190,11,50729,506,449,584,22
850,100,102,1,0,2,0,11001,109,97,189,12,52650,525,403,677,57
860,100,102,0,0,2,1,10939,109,97,174,8,46941,468,397,615,42
870,100,94,0,0,2,1,11049,110,98,199,10,45412,452,399,591,34
880,100,102,0,0,2,1,11000,109,97,139,7,45856,457,403,562,29
890,100,104,0,0,3,1,10863,108,96,136,6,44881,447,398,547,42
900,100,102,1,0,2,0,11054,110,98,176,9,47712,476,407,626,49
910,100,101,1,0,2,0,12573,125,106,195,11,49632,495,434,653,51
920,100,100,0,0,2,1,12548,125,111,198,11,49926,498,436,644,57
930,100,107,1,0,2,0,12463,124,109,157,8,49175,490,436,627,47
940,100,100,0,0,2,1,12754,127,108,189,11,47774,477,433,651,45
950,100,95,0,0,2,1,12382,123,109,184,9,47517,474,432,611,42
960,100,97,0,0,2,1,12441,124,113,173,9,48880,487,436,701,49
970,100,107,1,0,2,0,12612,126,110,191,10,47092,469,437,668,43
980,100,112,1,0,5,0,12733,127,111,212,13,47634,475,437,611,38
990,100,107,1,0,3,0,12576,125,112,172,9,46985,468,435,651,39
1000,100,105,1,0,2,0,12631,126,107,172,9,49057,489,436,656,50
