Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
10,150,8,0,0,1,0,1590,15,13,92,10,14282,141,116,340,29
20,150,8,0,0,1,0,1429,14,13,21,0,15274,151,124,805,68
30,150,9,0,0,1,0,1503,14,13,61,5,15569,154,118,274,23
40,150,10,0,0,1,0,1435,14,14,19,0,12986,129,112,175,17
50,150,11,0,0,1,0,1517,15,14,51,4,13676,136,113,238,26
60,150,12,0,0,1,0,1455,14,14,18,0,12520,125,113,173,13
70,150,14,0,0,1,0,1535,15,14,90,7,12623,126,113,198,17
80,150,14,0,0,1,0,1458,14,14,18,0,12465,122,112,175,12
90,150,16,0,0,1,0,1460,14,14,17,0,12982,128,113,194,17
100,150,17,0,0,1,0,1469,14,14,19,0,12950,128,114,206,17
110,150,19,0,0,1,0,1558,15,14,103,8,12603,125,114,194,13
120,150,18,0,0,1,0,1472,14,14,18,0,12297,122,114,153,9
130,150,20,0,0,1,0,1549,15,14,68,5,13606,135,114,243,25
140,150,22,0,0,1,0,1475,14,14,18,0,13114,130,114,208,18
150,150,21,0,0,1,0,1670,16,14,154,14,13735,137,113,202,24
160,150,24,0,0,1,0,2385,23,16,336,31,16634,165,145,228,19
170,150,25,0,0,1,0,2490,24,16,344,35,15786,156,145,200,10
180,150,24,0,0,1,0,1940,19,15,25,1,15910,157,146,218,13
190,150,25,0,0,1,0,1914,19,16,22,1,16387,162,144,407,30
200,150,29,0,0,1,0,2020,20,16,106,9,16738,166,147,227,19
210,150,27,0,0,1,0,1911,19,16,23,1,15940,158,143,457,32
220,150,32,0,0,1,0,1959,19,16,26,1,15803,157,145,230,16
230,150,31,0,0,1,0,2212,22,16,263,24,15861,158,144,210,12
240,150,33,0,0,1,0,1929,19,16,23,0,15539,155,144,247,13
250,150,34,0,0,1,0,1970,19,16,30,2,15261,151,144,178,5
260,150,36,0,0,1,0,1915,19,16,23,1,15336,152,144,285,15
270,150,35,0,0,1,0,1951,19,16,35,2,15960,158,144,226,14
280,150,37,0,0,1,0,1976,19,16,38,2,16557,164,146,232,19
290,150,39,0,0,1,0,2143,21,16,205,18,18690,186,146,441,35
300,150,44,0,0,4,0,1945,19,16,38,2,18712,186,147,1076,93
310,150,37,0,0,1,0,2975,29,23,135,10,19800,197,179,258,16
320,150,39,0,0,1,0,2877,28,24,42,2,18811,188,178,262,11
330,150,40,0,0,1,0,2799,27,23,41,2,19281,192,178,261,16
340,150,41,0,0,1,0,2885,28,23,134,10,18728,185,176,267,10
350,150,44,0,0,1,0,3027,30,25,186,18,26370,262,177,6762,656
360,150,42,0,0,1,0,2939,29,25,121,9,18772,186,176,266,11
370,150,44,0,0,1,0,2881,28,25,117,9,18605,185,176,258,9
380,150,46,0,0,1,0,2871,28,25,53,3,18657,186,176,276,14
390,150,44,0,0,1,0,2933,29,23,85,7,18693,186,176,392,23
400,150,50,0,0,1,0,2877,28,24,57,3,18543,185,175,274,12
410,150,49,0,0,1,0,2535,25,22,158,13,18606,185,177,277,14
420,150,50,0,0,1,0,2396,23,20,54,3,18858,187,178,289,15
430,150,50,0,0,1,0,2422,24,20,123,10,18787,186,176,238,9
440,150,54,0,0,1,0,2493,24,20,162,14,18872,187,176,245,12
450,150,55,0,0,1,0,2372,23,20,50,3,18715,186,175,277,15
460,150,50,0,0,1,0,3196,31,26,44,2,27953,278,216,2015,177
470,150,57,0,0,1,0,3352,33,27,123,9,27192,271,219,408,36
480,150,76,0,0,13,1,3350,33,26,145,11,23697,236,216,323,21
