Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
10,125,9,0,0,1,0,1482,14,13,70,5,11476,113,105,180,11
20,125,8,0,0,1,0,1400,13,13,16,1,11622,115,105,174,13
30,125,9,0,0,1,0,1445,14,13,53,4,12595,125,107,217,25
40,125,10,0,0,1,0,1446,14,13,69,5,12662,126,107,232,24
50,125,10,0,0,1,0,1465,14,13,77,6,13114,130,106,222,29
60,125,12,0,0,1,0,1418,14,13,17,0,12260,122,108,186,17
70,125,14,0,0,1,0,1485,14,13,73,5,12035,120,110,157,12
80,125,15,0,0,1,0,1494,14,13,81,6,12687,125,109,198,19
90,125,16,0,0,1,0,1421,14,13,19,0,12629,125,111,210,23
100,125,16,0,0,1,0,1480,14,13,71,5,11854,117,110,202,13
110,125,19,0,0,1,0,1422,14,13,17,0,12834,127,110,187,20
120,125,18,0,0,1,0,1485,14,13,72,5,12357,122,109,192,20
130,125,20,0,0,1,0,1957,19,15,51,6,15242,152,142,190,10
140,125,22,0,0,1,0,1973,19,15,51,6,14800,147,139,203,9
150,125,21,0,0,1,0,1965,19,15,48,5,14714,147,141,173,5
160,125,23,0,0,1,0,2013,20,14,85,8,14770,146,140,174,6
170,125,24,0,0,1,0,1973,19,15,47,5,14696,145,140,180,5
180,125,24,0,0,1,0,1987,19,15,58,5,15623,155,141,228,15
190,125,25,0,0,1,0,2090,20,15,96,10,14727,146,140,218,8
200,125,28,0,0,1,0,2058,20,15,138,12,14899,148,139,212,9
210,125,27,0,0,1,0,1897,18,15,47,3,14983,149,141,265,16
220,125,32,0,0,1,0,1953,19,16,74,6,14605,145,141,170,5
230,125,32,0,0,1,0,2025,20,15,97,9,14775,147,141,185,6
240,125,33,0,0,1,0,1870,18,15,22,1,14840,147,142,199,6
250,125,34,0,0,1,0,2046,20,15,115,10,14901,147,141,213,10
260,125,35,0,0,1,0,2430,24,19,128,12,18361,182,173,217,10
270,125,36,0,0,1,0,2138,21,19,28,1,18201,181,173,243,9
280,125,36,0,0,1,0,2281,22,19,125,10,18023,179,173,248,10
290,125,40,0,0,1,0,2310,23,19,111,11,17944,179,171,242,9
300,125,40,0,0,1,0,2277,22,19,117,9,17884,178,172,239,7
310,125,41,0,0,5,0,2341,23,19,122,10,18101,180,173,264,12
320,125,39,0,0,1,0,2265,22,19,101,8,18998,189,174,219,13
330,125,40,0,0,1,0,2301,22,19,99,7,18402,182,173,274,15
340,125,42,0,0,1,0,2285,22,19,105,8,18214,181,173,244,10
350,125,44,0,0,1,0,2374,23,19,124,10,18161,180,172,243,10
360,125,42,0,0,1,0,2478,24,19,147,15,18248,181,173,275,11
370,125,44,0,0,1,0,2417,24,19,122,12,18229,181,173,255,11
380,125,47,0,0,1,0,3138,31,27,50,2,24698,246,208,319,22
390,125,45,0,0,1,0,3276,32,26,112,8,26569,265,239,355,19
400,125,50,0,0,1,0,3343,33,29,147,13,26237,262,219,312,16
410,125,50,0,0,1,0,3113,31,26,74,6,24067,239,213,357,26
420,125,50,0,0,1,0,3231,32,27,83,5,24460,243,209,351,28
430,125,51,0,0,1,0,3222,32,29,104,7,26444,263,222,340,18
440,125,54,0,0,1,0,3231,32,28,86,5,25681,255,216,333,25
450,125,56,0,0,1,0,3196,31,28,87,5,27043,269,236,375,22
460,125,50,0,0,1,0,3189,31,27,99,8,26477,264,221,334,18
470,125,57,0,0,1,0,3274,32,29,139,10,26097,260,227,344,19
480,125,60,0,0,1,0,3314,33,28,109,10,25362,253,217,348,24
490,125,65,0,0,7,1,3353,33,29,119,12,24396,243,209,325,25
500,125,72,0,0,13,1,3261,32,29,93,6,25420,252,211,527,40
510,125,66,0,0,2,0,5034,50,43,113,7,28492,283,250,421,31
520,125,69,0,0,2,0,5044,50,42,115,10,27177,270,248,374,23
530,125,72,0,0,2,0,5034,50,43,103,8,27544,274,242,365,23
540,125,71,0,0,2,0,5126,51,43,153,11,27155,270,244,373,18
550,125,71,0,0,2,0,4931,49,42,86,5,26978,269,249,329,15
560,125,76,0,0,2,0,5042,50,43,119,8,27189,271,244,338,18
570,125,78,0,0,2,0,5028,50,43,83,5,29225,292,248,392,27
580,125,68,0,0,2,0,5127,51,43,130,12,30578,304,283,432,21
590,125,76,0,0,2,0,4946,49,43,84,5,30720,305,282,418,24
600,125,75,0,0,2,0,5135,51,43,109,9,30590,304,273,402,21
610,125,80,0,0,2,0,5015,50,43,157,11,30939,308,280,457,28
620,125,78,0,0,4,1,5038,50,43,107,8,30661,305,273,372,21
630,125,82,0,0,2,0,6524,65,54,121,8,33519,334,284,432,29
640,125,82,0,0,2,0,6543,65,54,130,8,32416,324,284,431,30
650,125,83,0,0,2,1,6624,66,54,177,12,33581,335,292,459,29
660,125,82,0,0,2,1,6562,65,55,146,12,33714,335,285,445,32
670,125,80,0,0,2,0,6557,65,54,140,11,33261,331,289,448,29
680,125,91,0,0,2,1,6497,64,54,110,8,33043,329,286,451,32
690,125,87,0,0,2,1,6526,65,54,125,9,33013,329,283,440,29
700,125,86,0,0,2,1,6491,64,54,120,8,33824,337,285,532,44
710,125,86,0,0,2,1,6683,66,54,138,11,33814,337,292,453,30
720,125,93,0,0,5,1,6369,63,54,132,9,32431,324,286,382,22
730,125,95,0,0,2,1,6535,65,54,165,13,33099,330,293,494,27
740,125,94,0,0,2,1,6361,63,54,77,4,33199,330,284,423,21
750,125,98,0,0,2,1,6460,64,54,120,7,32826,326,287,545,34
760,125,94,0,0,2,1,8167,81,70,161,12,36675,365,322,463,26
770,125,101,0,0,2,1,7908,78,68,108,6,37236,371,317,489,24
780,125,102,0,0,2,1,8064,80,70,147,9,37063,369,316,461,28
790,125,102,0,0,2,1,8296,82,69,260,19,36445,363,324,462,21
800,125,100,0,0,2,1,8112,81,69,161,11,36883,367,323,469,25
810,125,111,1,0,5,0,8064,80,70,140,9,37880,378,321,491,45
820,125,98,0,0,2,1,7987,79,70,135,8,37799,377,322,567,48
830,125,105,1,0,2,0,8151,81,69,179,11,38003,378,326,591,38
840,125,105,1,0,2,0,8028,80,69,176,13,37035,368,322,504,33
850,125,114,1,0,2,0,7855,78,69,135,9,37893,378,327,542,44
860,125,114,1,0,2,0,7839,78,69,105,5,38504,383,330,536,38
870,125,105,1,0,2,0,8158,81,68,182,12,37751,376,324,545,46
880,125,114,1,0,2,0,9778,97,85,131,8,40836,407,359,535,34
890,125,115,1,0,3,0,9843,98,84,205,18,41832,417,362,571,44
900,125,118,1,0,4,0,9645,96,84,159,9,40656,405,358,548,38
910,125,113,1,0,3,0,9512,95,84,166,11,41631,415,365,615,46
920,125,111,1,0,3,0,9585,95,84,207,16,41369,412,360,643,44
930,125,118,1,0,2,0,9632,96,83,141,8,42524,424,367,573,44
940,125,113,1,0,2,0,9844,98,85,198,14,42190,420,363,770,52
950,125,105,1,0,2,0,9606,95,83,124,7,42239,421,365,603,54
960,125,108,1,0,3,0,9549,95,85,155,9,41796,416,360,574,45
970,125,119,1,0,2,0,9693,96,83,146,10,42242,421,363,620,50
980,125,123,1,0,3,0,9647,96,84,157,10,41802,417,361,732,51
990,125,119,1,0,3,0,9582,95,83,127,6,41583,415,363,639,46
1000,125,118,1,0,3,0,9520,95,84,143,8,41672,415,366,543,39
